Energy [eV]	Cross Section	Asymmetry Parameter
15.0	0.1453	2
16.71	0.2269	2
20.0	0.3299	2
21.22	0.3529	2
25.0	0.3902	2
26.86	0.3959	2
30.0	0.3941	2
35.0	0.3748	2
40.0	0.3465	2
40.81	0.3416	2
45.0	0.3156	2
50.0	0.2853	2
55.0	0.2571	2
60.0	0.2316	2
65.0	0.209	2
70.0	0.1891	2
75.0	0.1717	2
80.0	0.1565	2
85.0	0.1433	2
90.0	0.1316	2
95.0	0.1214	2
100.0	0.1123	2
105.0	0.1042	2
110.0	0.09699999999999999	2
115.0	0.09051000000000001	2
120.0	0.08467000000000001	2
125.0	0.07939	2
130.0	0.0746	2
132.3	0.07255	2
135.0	0.07025	2
140.0	0.06629	2
145.0	0.06268	2
150.0	0.059370000000000006	2
151.4	0.0585	2
155.0	0.05634	2
160.0	0.05356	2
165.0	0.051	2
170.0	0.048639999999999996	2
175.0	0.04646	2
180.0	0.044430000000000004	2
185.0	0.042539999999999994	2
190.0	0.040780000000000004	2
195.0	0.03913	2
200.0	0.03759	2
205.0	0.03613	2
210.0	0.03476	2
215.0	0.03347	2
220.0	0.03225	2
225.0	0.031089999999999996	2
230.0	0.02999	2
235.0	0.028939999999999997	2
240.0	0.027939999999999996	2
245.0	0.027000000000000003	2
250.0	0.0261	2
255.0	0.025240000000000002	2
260.0	0.024419999999999997	2
265.0	0.02364	2
270.0	0.02289	2
275.0	0.022180000000000002	2
280.0	0.0215	2
285.0	0.02085	2
290.0	0.02023	2
295.0	0.01963	2
300.0	0.01906	2
305.0	0.01852	2
320.0	0.01701	2
340.0	0.015269999999999999	2
360.0	0.01377	2
380.0	0.01247	2
400.0	0.01135	2
420.0	0.01037	2
440.0	0.009506	2
460.0	0.008745999999999999	2
480.0	0.00807	2
500.0	0.007465	2
520.0	0.006920999999999999	2
540.0	0.00643	2
560.0	0.005985	2
580.0	0.005581	2
600.0	0.005214	2
620.0	0.00488	2
640.0	0.004575	2
660.0	0.004296	2
680.0	0.00404	2
700.0	0.003805	2
720.0	0.003589	2
740.0	0.00339	2
760.0	0.003206	2
780.0	0.003036	2
800.0	0.002879	2
850.0	0.002534	2
900.0	0.0022429999999999998	2
950.0	0.001996	2
1000.0	0.0017850000000000001	2
1041.0	0.001634	2
1050.0	0.001604	2
1100.0	0.0014470000000000002	2
1150.0	0.00131	2
1200.0	0.001191	2
1250.0	0.001086	2
1253.6	0.0010789999999999999	2
1300.0	0.0009939999999999999	2
1350.0	0.0009122999999999999	2
1400.0	0.0008396000000000001	2
1450.0	0.0007744	2
1486.6	0.0007308	2
1500.0	0.0007157999999999999	2
