Energy [eV]	Cross Section	Asymmetry Parameter
510.0	0.1071	0.2053
515.0	0.1095	0.06151
520.0	0.1107	-0.04333
525.0	0.1177	0.056010000000000004
530.0	0.1364	0.4358
535.0	0.1723	0.9254
540.0	0.2319	1.3359999999999999
545.0	0.3205	1.585
550.0	0.4401	1.683
555.0	0.5905	1.679
560.0	0.7713	1.617
565.0	0.9822	1.524
570.0	1.2209999999999999	1.419
575.0	1.48	1.3119999999999998
580.0	1.751	1.21
585.0	2.022	1.113
590.0	2.285	1.025
595.0	2.533	0.9456
600.0	2.763	0.8739
605.0	2.971	0.8095
610.0	3.156	0.752
615.0	3.3169999999999997	0.7007
620.0	3.4539999999999997	0.6551
625.0	3.569	0.6145
630.0	3.6630000000000003	0.5786
635.0	3.739	0.5469
640.0	3.799	0.519
645.0	3.846	0.4945
650.0	3.883	0.473
655.0	3.91	0.4542
660.0	3.928	0.4379
665.0	3.94	0.4237
670.0	3.944	0.4115
675.0	3.944	0.401
680.0	3.938	0.3921
685.0	3.927	0.3847
690.0	3.9139999999999997	0.3785
695.0	3.898	0.3735
700.0	3.8789999999999996	0.3695
705.0	3.859	0.3665
710.0	3.8369999999999997	0.3644
715.0	3.8139999999999996	0.363
720.0	3.7889999999999997	0.3624
725.0	3.764	0.3623
730.0	3.737	0.3628
735.0	3.71	0.3639
740.0	3.682	0.3654
745.0	3.653	0.3673
750.0	3.6239999999999997	0.3696
755.0	3.594	0.3723
760.0	3.5639999999999996	0.3752
765.0	3.534	0.3785
770.0	3.503	0.382
775.0	3.4730000000000003	0.3857
780.0	3.4419999999999997	0.3896
785.0	3.412	0.3938
790.0	3.3810000000000002	0.39799999999999996
795.0	3.3510000000000004	0.4025
800.0	3.32	0.40700000000000003
805.0	3.29	0.4117
850.0	3.0180000000000002	0.4568
900.0	2.7319999999999998	0.509
950.0	2.467	0.5595
1000.0	2.225	0.6067
1041.0	2.045	0.6424
1050.0	2.0069999999999997	0.6499
1100.0	1.8119999999999998	0.6893
1150.0	1.6369999999999998	0.725
1200.0	1.4809999999999999	0.7573
1250.0	1.3419999999999999	0.7864
1253.6	1.3319999999999999	0.7884
1300.0	1.218	0.8127
1350.0	1.107	0.8365
1400.0	1.008	0.858
1450.0	0.9195	0.8775
1486.6	0.8607	0.8905
1500.0	0.8403	0.8951
