Energy [eV]	Cross Section	Asymmetry Parameter
280.0	0.2294	2
300.0	0.2142	2
320.0	0.1976	2
340.0	0.1831	2
360.0	0.1706	2
380.0	0.1588	2
400.0	0.1485	2
420.0	0.1391	2
440.0	0.1305	2
460.0	0.1226	2
480.0	0.1155	2
500.0	0.1089	2
520.0	0.1029	2
540.0	0.09736	2
560.0	0.09226000000000001	2
580.0	0.08756	2
600.0	0.0832	2
620.0	0.07914	2
640.0	0.07537999999999999	2
660.0	0.07189	2
680.0	0.06863999999999999	2
700.0	0.0656	2
720.0	0.06275	2
740.0	0.06009	2
760.0	0.0576	2
780.0	0.05525	2
800.0	0.05305	2
850.0	0.04809	2
900.0	0.0438	2
950.0	0.040060000000000005	2
1000.0	0.03678	2
1041.0	0.03439	2
1050.0	0.033889999999999997	2
1100.0	0.031330000000000004	2
1150.0	0.02905	2
1200.0	0.02702	2
1250.0	0.02519	2
1253.6	0.02506	2
1300.0	0.023540000000000002	2
1350.0	0.02205	2
1400.0	0.0207	2
1450.0	0.019469999999999998	2
1486.6	0.01864	2
1500.0	0.01835	2
