Energy [eV]	Cross Section	Asymmetry Parameter
30.0	5.712000000000001	1.5830000000000002
35.0	3.0260000000000002	1.702
40.0	1.681	1.733
40.81	1.538	1.73
45.0	0.9986	1.672
50.0	0.6387	1.5130000000000001
55.0	0.4397	1.264
60.0	0.3251	0.9575
65.0	0.257	0.6385
70.0	0.2157	0.355
75.0	0.1904	0.1378
80.0	0.1744	-0.0052899999999999996
85.0	0.1641	-0.08344
90.0	0.1571	-0.1123
95.0	0.152	-0.1068
100.0	0.1481	-0.07884
105.0	0.145	-0.036739999999999995
110.0	0.1422	0.01372
115.0	0.1397	0.06859
120.0	0.1373	0.1252
125.0	0.135	0.1816
130.0	0.1328	0.2366
132.3	0.1318	0.2612
135.0	0.1306	0.2896
140.0	0.1284	0.3401
145.0	0.1262	0.38799999999999996
150.0	0.124	0.4334
151.4	0.1234	0.4458
155.0	0.1218	0.4765
160.0	0.1196	0.5173
165.0	0.1174	0.5561
170.0	0.1153	0.593
175.0	0.1132	0.6281
180.0	0.1111	0.6615
185.0	0.109	0.6933
190.0	0.107	0.7236
195.0	0.105	0.7524
200.0	0.1031	0.7798
205.0	0.1012	0.8058
210.0	0.09932	0.8306
215.0	0.09749	0.8543
220.0	0.09571	0.8768
225.0	0.09397	0.8984
230.0	0.09228	0.919
235.0	0.09062	0.9388
240.0	0.08900000000000001	0.9578
245.0	0.08742	0.976
250.0	0.08588	0.9936
255.0	0.08437	1.011
260.0	0.0829	1.0270000000000001
265.0	0.08147	1.043
270.0	0.08006	1.058
275.0	0.07869	1.073
280.0	0.07736	1.087
285.0	0.07605	1.1
290.0	0.07478	1.113
295.0	0.07354	1.126
300.0	0.07232999999999999	1.138
305.0	0.07114	1.15
310.0	0.06999	1.162
315.0	0.06887	1.173
320.0	0.06777000000000001	1.1840000000000002
340.0	0.06362000000000001	1.2229999999999999
360.0	0.05984	1.2590000000000001
380.0	0.056389999999999996	1.291
400.0	0.05322999999999999	1.32
420.0	0.05033	1.3459999999999999
440.0	0.04767	1.369
460.0	0.04521	1.391
480.0	0.04295	1.411
500.0	0.04085	1.429
520.0	0.0389	1.446
540.0	0.03709	1.4609999999999999
560.0	0.035410000000000004	1.475
580.0	0.033839999999999995	1.489
600.0	0.03238	1.501
620.0	0.031010000000000003	1.5130000000000001
640.0	0.02972	1.5230000000000001
660.0	0.02852	1.534
680.0	0.027389999999999998	1.5430000000000001
700.0	0.02632	1.5519999999999998
720.0	0.02532	1.56
740.0	0.02437	1.568
760.0	0.02348	1.5759999999999998
780.0	0.02264	1.5830000000000002
800.0	0.021840000000000002	1.589
850.0	0.02001	1.605
900.0	0.01841	1.618
950.0	0.017	1.629
1000.0	0.01574	1.64
1041.0	0.01481	1.6469999999999998
1050.0	0.01462	1.649
1100.0	0.013609999999999999	1.6569999999999998
1150.0	0.012709999999999999	1.6640000000000001
1200.0	0.011890000000000001	1.67
1250.0	0.01115	1.676
1253.6	0.0111	1.6769999999999998
1300.0	0.01047	1.681
1350.0	0.009859	1.686
1400.0	0.009295999999999999	1.69
1450.0	0.008782	1.694
1486.6	0.008431000000000001	1.696
1500.0	0.008308	1.6969999999999998
