Energy [eV]	Cross Section	Asymmetry Parameter
250.0	0.7695	0.2456
255.0	4.459	0.5842
260.0	4.774	0.5986
265.0	3.929	0.6372
270.0	3.4530000000000003	0.6934
275.0	3.202	0.7541
280.0	3.0580000000000003	0.8135
285.0	2.964	0.8693
290.0	2.889	0.9208
295.0	2.821	0.9678
300.0	2.752	1.01
305.0	2.679	1.0490000000000002
310.0	2.603	1.084
315.0	2.525	1.1159999999999999
320.0	2.447	1.145
325.0	2.369	1.171
330.0	2.293	1.194
335.0	2.219	1.216
340.0	2.149	1.235
345.0	2.083	1.253
350.0	2.02	1.27
355.0	1.96	1.284
360.0	1.902	1.298
365.0	1.848	1.311
370.0	1.796	1.3230000000000002
375.0	1.746	1.3330000000000002
380.0	1.6980000000000002	1.3430000000000002
385.0	1.651	1.3530000000000002
390.0	1.6059999999999999	1.361
395.0	1.5619999999999998	1.37
400.0	1.5190000000000001	1.3769999999999998
405.0	1.4769999999999999	1.3840000000000001
410.0	1.4369999999999998	1.391
415.0	1.3969999999999998	1.3969999999999998
420.0	1.359	1.403
425.0	1.321	1.4080000000000001
430.0	1.285	1.413
435.0	1.25	1.4180000000000001
440.0	1.216	1.422
445.0	1.182	1.426
450.0	1.15	1.43
455.0	1.12	1.4340000000000002
460.0	1.09	1.4369999999999998
465.0	1.061	1.44
470.0	1.033	1.443
475.0	1.006	1.446
480.0	0.9801	1.449
485.0	0.955	1.4509999999999998
490.0	0.9309	1.453
495.0	0.9075	1.455
500.0	0.885	1.4569999999999999
505.0	0.8632	1.459
510.0	0.8421	1.46
515.0	0.8217	1.462
520.0	0.8019	1.463
525.0	0.7827	1.464
530.0	0.7641	1.465
535.0	0.7461	1.466
540.0	0.7286	1.4669999999999999
545.0	0.7116	1.4680000000000002
560.0	0.6635	1.47
580.0	0.6054	1.472
600.0	0.5535	1.472
620.0	0.5071	1.472
640.0	0.4656	1.4709999999999999
660.0	0.4286	1.469
680.0	0.3954	1.4669999999999999
700.0	0.3655	1.464
720.0	0.3385	1.46
740.0	0.3141	1.4569999999999999
760.0	0.2919	1.453
780.0	0.2716	1.449
800.0	0.2531	1.444
850.0	0.2134	1.433
900.0	0.1815	1.42
950.0	0.1556	1.406
1000.0	0.1343	1.392
1041.0	0.1195	1.381
1050.0	0.1166	1.3780000000000001
1100.0	0.1017	1.364
1150.0	0.08924	1.35
1200.0	0.07867	1.3359999999999999
1250.0	0.06967000000000001	1.321
1253.6	0.06907	1.32
1300.0	0.061939999999999995	1.307
1350.0	0.055279999999999996	1.2930000000000001
1400.0	0.0495	1.2790000000000001
1450.0	0.04448	1.266
1486.6	0.041210000000000004	1.256
1500.0	0.0401	1.252
