Energy [eV]	Cross Section	Asymmetry Parameter
55.0	1.133	0.9144
60.0	1.3719999999999999	0.7886
65.0	1.994	0.3173
70.0	2.891	0.031689999999999996
75.0	3.86	-0.07866000000000001
80.0	4.71	-0.09493
85.0	5.369	-0.06655
90.0	5.8629999999999995	-0.01765
95.0	6.2410000000000005	0.03997
100.0	6.537999999999999	0.1004
105.0	6.773	0.1604
110.0	6.952000000000001	0.2184
115.0	7.0760000000000005	0.2735
120.0	7.143	0.3253
125.0	7.156000000000001	0.3736
130.0	7.119	0.4186
132.3	7.087000000000001	0.4382
135.0	7.04	0.4604
140.0	6.926	0.4993
145.0	6.787000000000001	0.5354
150.0	6.631	0.5691
151.4	6.584	0.5782
155.0	6.462000000000001	0.6007
160.0	6.287000000000001	0.6302
165.0	6.109	0.6579999999999999
170.0	5.928999999999999	0.6843
175.0	5.749	0.7091
180.0	5.57	0.7325
185.0	5.391	0.7548
190.0	5.215	0.7759999999999999
195.0	5.04	0.7961
200.0	4.867	0.8153
205.0	4.698	0.8335
210.0	4.532	0.8508
215.0	4.369	0.8673
220.0	4.211	0.883
225.0	4.058	0.898
230.0	3.91	0.9122
235.0	3.767	0.9257
240.0	3.6289999999999996	0.9386
245.0	3.497	0.9509
250.0	3.37	0.9626
255.0	3.248	0.9738
260.0	3.1319999999999997	0.9844
265.0	3.02	0.9946
270.0	2.9130000000000003	1.004
275.0	2.8110000000000004	1.014
280.0	2.7119999999999997	1.023
285.0	2.6180000000000003	1.031
290.0	2.5269999999999997	1.0390000000000001
295.0	2.44	1.047
300.0	2.356	1.055
305.0	2.276	1.062
310.0	2.198	1.069
315.0	2.124	1.0759999999999998
320.0	2.052	1.082
325.0	1.984	1.088
330.0	1.9180000000000001	1.094
335.0	1.854	1.1
340.0	1.7930000000000001	1.105
345.0	1.735	1.11
350.0	1.679	1.115
360.0	1.5730000000000002	1.124
380.0	1.385	1.141
400.0	1.225	1.155
420.0	1.087	1.167
440.0	0.968	1.176
460.0	0.8643	1.185
480.0	0.7739	1.1909999999999998
500.0	0.6951	1.197
520.0	0.6261	1.2009999999999998
540.0	0.5655	1.204
560.0	0.5122	1.207
580.0	0.465	1.209
600.0	0.423	1.21
620.0	0.3857	1.21
640.0	0.3524	1.21
660.0	0.3227	1.209
680.0	0.29600000000000004	1.208
700.0	0.2721	1.207
720.0	0.2505	1.205
740.0	0.2311	1.203
760.0	0.2135	1.2009999999999998
780.0	0.1976	1.198
800.0	0.1831	1.195
850.0	0.1523	1.188
900.0	0.1278	1.179
950.0	0.10800000000000001	1.169
1000.0	0.09191	1.159
1041.0	0.08091	1.15
1050.0	0.07872	1.148
1100.0	0.06781000000000001	1.138
1150.0	0.05873	1.127
1200.0	0.05113	1.1159999999999999
1250.0	0.04471	1.104
1253.6	0.044289999999999996	1.104
1300.0	0.03927	1.093
1350.0	0.03463	1.082
1400.0	0.030660000000000003	1.071
1450.0	0.02723	1.06
1486.6	0.02502	1.052
1500.0	0.02427	1.0490000000000002
