Energy [eV]	Cross Section	Asymmetry Parameter
21.2	0.01487	2
25.0	0.08397	2
26.8	0.1164	2
30.0	0.16399999999999998	2
35.0	0.2121	2
40.0	0.2353	2
40.8	0.2373	2
45.0	0.2423	2
50.0	0.2393	2
55.0	0.2306	2
60.0	0.21899999999999997	2
65.0	0.2062	2
70.0	0.1932	2
75.0	0.1807	2
80.0	0.1689	2
85.0	0.158	2
90.0	0.14800000000000002	2
95.0	0.1389	2
100.0	0.1305	2
105.0	0.1229	2
110.0	0.1159	2
115.0	0.1095	2
120.0	0.1036	2
125.0	0.09811	2
130.0	0.09308	2
132.3	0.09089	2
135.0	0.08842	2
140.0	0.08409	2
145.0	0.08008	2
150.0	0.07636	2
151.4	0.07536	2
155.0	0.07289	2
160.0	0.06967000000000001	2
165.0	0.06667000000000001	2
170.0	0.06387999999999999	2
175.0	0.061270000000000005	2
180.0	0.058839999999999996	2
185.0	0.05657	2
190.0	0.054439999999999995	2
195.0	0.05244	2
200.0	0.05057	2
205.0	0.0488	2
210.0	0.047139999999999994	2
215.0	0.04557	2
220.0	0.04408	2
225.0	0.04267	2
230.0	0.04133	2
235.0	0.040060000000000005	2
240.0	0.03885	2
245.0	0.037689999999999994	2
250.0	0.03659	2
255.0	0.03553	2
260.0	0.03452	2
265.0	0.03356	2
270.0	0.03263	2
275.0	0.03174	2
280.0	0.030889999999999997	2
285.0	0.03007	2
290.0	0.029289999999999997	2
295.0	0.02853	2
300.0	0.02781	2
305.0	0.027110000000000002	2
310.0	0.026439999999999998	2
315.0	0.0258	2
320.0	0.02518	2
340.0	0.02292	2
360.0	0.02097	2
380.0	0.01926	2
400.0	0.017759999999999998	2
420.0	0.01644	2
440.0	0.01526	2
460.0	0.014209999999999999	2
480.0	0.01326	2
500.0	0.01242	2
520.0	0.01166	2
540.0	0.01096	2
560.0	0.010329999999999999	2
580.0	0.009754	2
600.0	0.009222	2
620.0	0.008733	2
640.0	0.008281	2
660.0	0.007863	2
680.0	0.007475	2
700.0	0.007116	2
720.0	0.006781999999999999	2
740.0	0.0064719999999999995	2
760.0	0.006182	2
780.0	0.005911	2
800.0	0.005658	2
850.0	0.005092	2
900.0	0.004607	2
950.0	0.00419	2
1000.0	0.003827	2
1041.0	0.003563	2
1050.0	0.003508	2
1100.0	0.0032270000000000003	2
1150.0	0.002978	2
1200.0	0.002757	2
1250.0	0.002559	2
1253.6	0.002545	2
1300.0	0.002381	2
1350.0	0.002221	2
1400.0	0.002077	2
1450.0	0.001946	2
1486.6	0.0018579999999999998	2
1500.0	0.001827	2
