Energy [eV]	Cross Section	Asymmetry Parameter
740.0	0.3015	-0.1948
760.0	0.2934	0.1404
780.0	0.2928	0.3952
800.0	0.2866	0.5604
850.0	0.2741	0.8287
900.0	0.2597	0.9976
950.0	0.2465	1.115
1000.0	0.2335	1.203
1041.0	0.2236	1.2590000000000001
1050.0	0.2215	1.27
1100.0	0.2101	1.325
1150.0	0.1994	1.369
1200.0	0.1894	1.406
1250.0	0.18	1.4380000000000002
1253.6	0.1793	1.44
1300.0	0.1712	1.465
1350.0	0.163	1.4880000000000002
1400.0	0.1552	1.508
1450.0	0.14800000000000002	1.525
1486.6	0.14300000000000002	1.537
1500.0	0.1412	1.541
