Energy [eV]	Cross Section	Asymmetry Parameter
55.0	9.292	1.456
60.0	107.8	0.4699
65.0	61.51	0.4403
70.0	34.51	0.6038
75.0	23.47	0.7954
80.0	16.93	0.981
85.0	12.45	1.1520000000000001
90.0	9.271	1.305
95.0	7.004	1.4409999999999998
100.0	5.375	1.561
105.0	4.186	1.6669999999999998
110.0	3.304	1.7590000000000001
115.0	2.636	1.838
120.0	2.122	1.903
125.0	1.722	1.953
130.0	1.406	1.986
132.3	1.284	1.994
135.0	1.157	1.999
140.0	0.9578	1.992
145.0	0.7993	1.96
150.0	0.6726	1.9040000000000001
151.4	0.6419	1.883
155.0	0.5713	1.82
160.0	0.4902	1.71
165.0	0.4253	1.5730000000000002
170.0	0.3733	1.412
175.0	0.3318	1.232
180.0	0.2986	1.036
185.0	0.2723	0.8328
190.0	0.2516	0.6284
195.0	0.2353	0.43
200.0	0.2227	0.2441
205.0	0.2131	0.07547000000000001
210.0	0.2058	-0.07236000000000001
215.0	0.2006	-0.1978
220.0	0.1968	-0.3005
225.0	0.1944	-0.3815
230.0	0.1929	-0.4425
235.0	0.1922	-0.4856
240.0	0.1921	-0.5131
245.0	0.1925	-0.5274
250.0	0.1933	-0.5305
255.0	0.1943	-0.5245
260.0	0.1956	-0.511
265.0	0.19699999999999998	-0.4915
270.0	0.1985	-0.4673
275.0	0.2	-0.4395
280.0	0.2015	-0.4089
285.0	0.2031	-0.3763
290.0	0.2046	-0.3423
295.0	0.2061	-0.3074
300.0	0.2075	-0.272
305.0	0.2088	-0.2364
310.0	0.21	-0.201
315.0	0.2111	-0.1658
320.0	0.2122	-0.1312
325.0	0.2131	-0.09714
330.0	0.2139	-0.06377000000000001
335.0	0.2146	-0.031139999999999998
340.0	0.2153	0.0007241000000000001
345.0	0.2158	0.03178
350.0	0.2162	0.062029999999999995
360.0	0.2168	0.1201
380.0	0.217	0.2271
400.0	0.21600000000000003	0.3227
420.0	0.214	0.408
440.0	0.2112	0.4842
460.0	0.2077	0.5522
480.0	0.2038	0.6131
500.0	0.1995	0.6679999999999999
520.0	0.1951	0.7178
540.0	0.1904	0.7631
560.0	0.1856	0.8044
580.0	0.1808	0.8422
600.0	0.1759	0.8768
620.0	0.1711	0.9086
640.0	0.1663	0.9379
660.0	0.1616	0.9649
680.0	0.157	0.99
700.0	0.1525	1.013
720.0	0.1481	1.035
740.0	0.1438	1.055
760.0	0.1397	1.074
780.0	0.1356	1.091
800.0	0.1317	1.1079999999999999
850.0	0.1224	1.145
900.0	0.1138	1.176
950.0	0.1059	1.203
1000.0	0.09872	1.226
1041.0	0.09327	1.2429999999999999
1050.0	0.09212000000000001	1.246
1100.0	0.08603999999999999	1.264
1150.0	0.08046	1.28
1200.0	0.07535	1.2930000000000001
1250.0	0.07064	1.305
1253.6	0.07031	1.306
1300.0	0.06631000000000001	1.315
1350.0	0.062310000000000004	1.324
1400.0	0.058620000000000005	1.3319999999999999
1450.0	0.055229999999999994	1.339
1486.6	0.05289	1.344
1500.0	0.052070000000000005	1.345
