Energy [eV]	Cross Section	Asymmetry Parameter
350.0	0.2726	0.2631
355.0	0.2588	0.4238
360.0	0.2497	0.6742
365.0	0.2502	0.9487
370.0	0.2662	1.088
375.0	0.2912	0.8949
380.0	0.3152	0.5471
385.0	0.3362	0.2117
390.0	0.3557	-0.06304
395.0	0.3749	-0.2766
400.0	0.3939	-0.4382
405.0	0.4125	-0.5574
410.0	0.4302	-0.6423
415.0	0.4468	-0.6998
420.0	0.4621	-0.7356
425.0	0.4762	-0.7543
430.0	0.4892	-0.7597
435.0	0.5013	-0.7547
440.0	0.5127	-0.7418
445.0	0.5236	-0.7226
450.0	0.534	-0.6986
455.0	0.5442	-0.6709
460.0	0.5539999999999999	-0.6405
465.0	0.5636	-0.608
470.0	0.5729	-0.5742
475.0	0.5819	-0.5393
480.0	0.5906	-0.5039
485.0	0.5989	-0.4682
490.0	0.6067	-0.4326
495.0	0.6141	-0.3973
500.0	0.621	-0.3623
505.0	0.6275	-0.3278
510.0	0.6335	-0.294
515.0	0.639	-0.2608
520.0	0.6441	-0.2283
525.0	0.6488	-0.1966
530.0	0.6532	-0.1656
535.0	0.6572	-0.1353
540.0	0.6609	-0.1057
545.0	0.6643	-0.07685
550.0	0.6675	-0.04867
555.0	0.6704	-0.021159999999999998
560.0	0.6731	0.005696
565.0	0.6755	0.03192
570.0	0.6777	0.05752
575.0	0.6798	0.08251
580.0	0.6816	0.1069
585.0	0.6831	0.1307
590.0	0.6845	0.1539
595.0	0.6857	0.1766
600.0	0.6866	0.1987
605.0	0.6874	0.2202
610.0	0.6879	0.2412
615.0	0.6883	0.2617
620.0	0.6884	0.2816
625.0	0.6883	0.301
630.0	0.6881	0.3199
635.0	0.6877	0.3384
640.0	0.6871	0.3563
645.0	0.6864	0.3738
660.0	0.6833	0.4236
680.0	0.6777	0.4846
700.0	0.6706	0.54
720.0	0.6624	0.5907
740.0	0.6532	0.6373
760.0	0.643	0.6802
780.0	0.632	0.7197
800.0	0.6205	0.7562
850.0	0.59	0.8357
900.0	0.5589	0.9016
950.0	0.5278	0.9574
1000.0	0.4973	1.005
1041.0	0.4732	1.0390000000000001
1050.0	0.46799999999999997	1.046
1100.0	0.4403	1.08
1150.0	0.414	1.111
1200.0	0.3892	1.137
1250.0	0.366	1.161
1253.6	0.3644	1.162
1300.0	0.3443	1.181
1350.0	0.3241	1.199
1400.0	0.3052	1.215
1450.0	0.2876	1.229
1486.6	0.2754	1.238
1500.0	0.2712	1.2409999999999999
