Energy [eV]	Cross Section	Asymmetry Parameter
540.0	0.3278	-0.4145
560.0	0.3458	0.005631000000000001
580.0	0.3365	0.2574
600.0	0.3294	0.4383
620.0	0.3237	0.5859
640.0	0.3171	0.7077
660.0	0.3098	0.8068
680.0	0.3026	0.8879
700.0	0.2958	0.9561
720.0	0.2893	1.015
740.0	0.2829	1.068
760.0	0.2763	1.115
780.0	0.2698	1.156
800.0	0.2633	1.193
850.0	0.248	1.2690000000000001
900.0	0.2337	1.329
950.0	0.2201	1.3780000000000001
1000.0	0.2074	1.4180000000000001
1041.0	0.1978	1.446
1050.0	0.1957	1.4509999999999998
1100.0	0.1848	1.479
1150.0	0.1746	1.5030000000000001
1200.0	0.1652	1.524
1250.0	0.1564	1.5419999999999998
1253.6	0.1558	1.5430000000000001
1300.0	0.1483	1.557
1350.0	0.1407	1.571
1400.0	0.1336	1.5830000000000002
1450.0	0.127	1.594
1486.6	0.1225	1.601
1500.0	0.1209	1.6030000000000002
