Energy [eV]	Cross Section	Asymmetry Parameter
15.0	1.6019999999999999	2
16.71	1.7280000000000002	2
20.0	1.7630000000000001	2
21.22	1.739	2
25.0	1.6159999999999999	2
26.86	1.544	2
30.0	1.42	2
35.0	1.236	2
40.0	1.074	2
40.81	1.05	2
45.0	0.9344	2
50.0	0.815	2
55.0	0.7128	2
60.0	0.6251	2
65.0	0.55	2
70.0	0.4855	2
75.0	0.4301	2
80.0	0.3824	2
85.0	0.3413	2
90.0	0.3058	2
95.0	0.275	2
100.0	0.2482	2
105.0	0.2248	2
110.0	0.2043	2
115.0	0.1863	2
120.0	0.1704	2
125.0	0.1563	2
130.0	0.1437	2
132.3	0.1384	2
135.0	0.1325	2
140.0	0.1224	2
145.0	0.1134	2
150.0	0.1052	2
151.4	0.1031	2
155.0	0.09785	2
160.0	0.09115	2
165.0	0.08505	2
170.0	0.07948999999999999	2
175.0	0.07442	2
180.0	0.06978	2
185.0	0.06552000000000001	2
190.0	0.061610000000000005	2
195.0	0.05802	2
200.0	0.0547	2
205.0	0.05165	2
210.0	0.04883	2
215.0	0.04622	2
220.0	0.0438	2
225.0	0.04155	2
230.0	0.03947	2
235.0	0.03753	2
240.0	0.03572	2
245.0	0.03404	2
250.0	0.03246	2
255.0	0.030989999999999997	2
260.0	0.02961	2
265.0	0.028310000000000002	2
270.0	0.0271	2
275.0	0.02595	2
280.0	0.02487	2
285.0	0.02385	2
290.0	0.02289	2
295.0	0.02199	2
300.0	0.02113	2
305.0	0.020309999999999998	2
310.0	0.019540000000000002	2
320.0	0.01811	2
340.0	0.01564	2
360.0	0.0136	2
380.0	0.0119	2
400.0	0.01047	2
420.0	0.009263	2
440.0	0.008234	2
460.0	0.007352	2
480.0	0.006593000000000001	2
500.0	0.005935	2
520.0	0.005363000000000001	2
540.0	0.004862	2
560.0	0.004422	2
580.0	0.004034	2
600.0	0.0036899999999999997	2
620.0	0.003386	2
640.0	0.003114	2
660.0	0.002872	2
680.0	0.002654	2
700.0	0.002459	2
720.0	0.002282	2
740.0	0.0021219999999999998	2
760.0	0.0019760000000000003	2
780.0	0.0018440000000000002	2
800.0	0.0017219999999999998	2
850.0	0.0014609999999999998	2
900.0	0.0012490000000000001	2
950.0	0.001075	2
1000.0	0.0009312000000000001	2
1041.0	0.0008316	2
1050.0	0.0008117	2
1100.0	0.0007115	2
1150.0	0.0006271	2
1200.0	0.0005556	2
1250.0	0.0004946000000000001	2
1253.6	0.0004905	2
1300.0	0.00044219999999999996	2
1350.0	0.000397	2
1400.0	0.0003577	2
1450.0	0.0003234	2
1486.6	0.0003008	2
1500.0	0.0002931	2
