Energy [eV]	Cross Section	Asymmetry Parameter
105.0	1.203	-0.8029
110.0	3.037	-0.5833
115.0	3.3169999999999997	0.1511
120.0	2.63	0.7222
125.0	1.9669999999999999	1.136
130.0	1.452	1.423
132.3	1.261	1.51
135.0	1.072	1.571
140.0	0.8059999999999999	1.551
145.0	0.6305	1.3419999999999999
150.0	0.5209	0.9613
151.4	0.4994	0.8320000000000001
155.0	0.4586	0.4764
160.0	0.4299	-0.012209999999999999
165.0	0.4249	-0.4167
170.0	0.4364	-0.696
175.0	0.4589	-0.8543
180.0	0.4884	-0.9181
185.0	0.5223	-0.9168
190.0	0.5585	-0.8744
195.0	0.5957	-0.8078
200.0	0.6329	-0.7283
205.0	0.6693	-0.6431
210.0	0.7043	-0.5567
215.0	0.7374	-0.47200000000000003
220.0	0.7682	-0.3905
225.0	0.7966	-0.3129
230.0	0.8226	-0.2397
235.0	0.8462	-0.1707
240.0	0.8674	-0.1058
245.0	0.8865	-0.044719999999999996
250.0	0.9035	0.0128
255.0	0.9186	0.06702000000000001
260.0	0.9317	0.1182
265.0	0.943	0.1664
270.0	0.9525	0.212
275.0	0.9602	0.2549
280.0	0.9664	0.2955
285.0	0.9711	0.3339
290.0	0.9744	0.3701
295.0	0.9764	0.4044
300.0	0.9773	0.4369
305.0	0.9772	0.4678
310.0	0.9761	0.4971
315.0	0.9742	0.5251
320.0	0.9716	0.5518
325.0	0.9682	0.5773
330.0	0.9641	0.6018
335.0	0.9594	0.6251
340.0	0.9541	0.6475
345.0	0.9483	0.669
350.0	0.9420000000000001	0.6896
355.0	0.9352	0.7093
360.0	0.9279999999999999	0.7282
365.0	0.9205	0.7464
370.0	0.9127	0.7638
375.0	0.9046	0.7806
380.0	0.8963	0.7967
385.0	0.8878	0.8122
390.0	0.8792	0.8271
395.0	0.8705	0.8415
400.0	0.8616	0.8553
420.0	0.8253	0.9063
440.0	0.7882	0.9511
460.0	0.7511	0.9904
480.0	0.7148	1.025
500.0	0.6796	1.056
520.0	0.6458	1.083
540.0	0.6132	1.1079999999999999
560.0	0.5822	1.13
580.0	0.5527	1.15
600.0	0.5248	1.168
620.0	0.4985	1.1840000000000002
640.0	0.4735	1.199
660.0	0.4499	1.212
680.0	0.4276	1.224
700.0	0.4066	1.235
720.0	0.3869	1.245
740.0	0.3682	1.254
760.0	0.3506	1.263
780.0	0.33399999999999996	1.27
800.0	0.3183	1.2770000000000001
850.0	0.28300000000000003	1.291
900.0	0.2524	1.3030000000000002
950.0	0.2257	1.311
1000.0	0.2026	1.318
1041.0	0.1857	1.3219999999999998
1050.0	0.1823	1.3230000000000002
1100.0	0.1645	1.3259999999999998
1150.0	0.1489	1.328
1200.0	0.1351	1.329
1250.0	0.1229	1.329
1253.6	0.1221	1.329
1300.0	0.1121	1.328
1350.0	0.1025	1.3259999999999998
1400.0	0.09386	1.324
1450.0	0.08617999999999999	1.3219999999999998
1486.6	0.08105	1.32
1500.0	0.07927000000000001	1.319
