Energy [eV]	Cross Section	Asymmetry Parameter
40.0	0.3818	2
40.8	0.3828	2
60.0	0.3559	2
80.0	0.2797	2
100.0	0.2192	2
120.0	0.1748	2
132.3	0.1534	2
140.0	0.142	2
151.4	0.1274	2
160.0	0.1179	2
180.0	0.0995	2
200.0	0.08513	2
220.0	0.07382999999999999	2
240.0	0.06473999999999999	2
260.0	0.05727	2
280.0	0.05106	2
300.0	0.045880000000000004	2
320.0	0.04149	2
340.0	0.03771	2
360.0	0.03445	2
380.0	0.03161	2
400.0	0.02913	2
420.0	0.02694	2
440.0	0.025	2
460.0	0.02326	2
480.0	0.02171	2
500.0	0.020309999999999998	2
520.0	0.01905	2
540.0	0.01791	2
560.0	0.01686	2
580.0	0.01591	2
600.0	0.015040000000000001	2
620.0	0.014240000000000001	2
640.0	0.01351	2
660.0	0.012830000000000001	2
680.0	0.0122	2
700.0	0.011609999999999999	2
720.0	0.01107	2
740.0	0.01057	2
760.0	0.0101	2
780.0	0.009661	2
800.0	0.00925	2
850.0	0.008331	2
900.0	0.0075450000000000005	2
950.0	0.006864	2
1000.0	0.006272	2
1041.0	0.005842	2
1050.0	0.005754	2
1100.0	0.005297	2
1150.0	0.0048920000000000005	2
1200.0	0.004533	2
1250.0	0.004212	2
1253.6	0.00419	2
1300.0	0.003924	2
1350.0	0.003664	2
1400.0	0.00343	2
1450.0	0.0032159999999999997	2
1486.6	0.003073	2
1500.0	0.0030239999999999998	2
