Energy [eV]	Cross Section	Asymmetry Parameter
120.0	2.338	2
125.0	2.046	2
130.0	1.859	2
132.3	1.791	2
135.0	1.72	2
140.0	1.6059999999999999	2
145.0	1.506	2
150.0	1.413	2
151.4	1.3880000000000001	2
155.0	1.3259999999999998	2
160.0	1.2429999999999999	2
165.0	1.1640000000000001	2
170.0	1.089	2
175.0	1.0190000000000001	2
180.0	0.9533	2
185.0	0.8923	2
190.0	0.8358	2
195.0	0.7837	2
200.0	0.7357	2
205.0	0.6915	2
210.0	0.6508	2
215.0	0.6133	2
220.0	0.5788	2
225.0	0.5468	2
230.0	0.5172	2
235.0	0.4898	2
240.0	0.4642	2
245.0	0.4404	2
250.0	0.4183	2
255.0	0.3975	2
260.0	0.3781	2
265.0	0.3599	2
270.0	0.3428	2
275.0	0.3267	2
280.0	0.3116	2
285.0	0.2974	2
290.0	0.2841	2
295.0	0.2715	2
300.0	0.2596	2
305.0	0.2484	2
310.0	0.2379	2
315.0	0.2279	2
320.0	0.2185	2
325.0	0.2096	2
330.0	0.2012	2
335.0	0.1932	2
340.0	0.1857	2
345.0	0.1785	2
350.0	0.1717	2
355.0	0.1653	2
360.0	0.1592	2
365.0	0.1534	2
370.0	0.1478	2
375.0	0.1425	2
380.0	0.1375	2
385.0	0.1327	2
390.0	0.1282	2
395.0	0.1238	2
400.0	0.1196	2
405.0	0.1156	2
410.0	0.1118	2
415.0	0.1082	2
420.0	0.1047	2
440.0	0.09206	2
460.0	0.08138	2
480.0	0.07228	2
500.0	0.06448	2
520.0	0.05776	2
540.0	0.05194	2
560.0	0.04688	2
580.0	0.04244	2
600.0	0.03854	2
620.0	0.0351	2
640.0	0.03205	2
660.0	0.029339999999999998	2
680.0	0.026930000000000003	2
700.0	0.02477	2
720.0	0.02283	2
740.0	0.02109	2
760.0	0.01952	2
780.0	0.0181	2
800.0	0.01681	2
850.0	0.01409	2
900.0	0.011909999999999999	2
950.0	0.010159999999999999	2
1000.0	0.00873	2
1041.0	0.00775	2
1050.0	0.007555	2
1100.0	0.006579000000000001	2
1150.0	0.005763	2
1200.0	0.005074	2
1250.0	0.00449	2
1253.6	0.004451	2
1300.0	0.00399	2
1350.0	0.0035619999999999996	2
1400.0	0.003192	2
1450.0	0.0028699999999999997	2
1486.6	0.0026609999999999997	2
1500.0	0.00259	2
