Energy [eV]	Cross Section	Asymmetry Parameter
40.0	6.297000000000001	1.416
40.81	8.277999999999999	1.16
45.0	33.47	0.35100000000000003
50.0	66.47	0.2919
55.0	53.29	0.4479
60.0	38.02	0.6329
65.0	27.48	0.8125
70.0	20.0	0.9793
75.0	14.63	1.1320000000000001
80.0	10.8	1.27
85.0	8.089	1.395
90.0	6.15	1.508
95.0	4.745	1.61
100.0	3.707	1.702
105.0	2.926	1.7830000000000001
110.0	2.329	1.854
115.0	1.867	1.913
120.0	1.507	1.9580000000000002
125.0	1.224	1.9869999999999999
130.0	1.0	1.999
132.3	0.9138	1.9969999999999999
135.0	0.8235	1.99
140.0	0.6833	1.9580000000000002
145.0	0.5720000000000001	1.901
150.0	0.4834	1.818
151.4	0.462	1.7890000000000001
155.0	0.4128	1.706
160.0	0.3566	1.568
165.0	0.3119	1.405
170.0	0.2763	1.22
175.0	0.2481	1.02
180.0	0.226	0.8119
185.0	0.2086	0.6034
190.0	0.1952	0.4022
195.0	0.1849	0.2152
200.0	0.1771	0.04736
205.0	0.1714	-0.09794
210.0	0.1673	-0.2194
215.0	0.1645	-0.3171
220.0	0.1628	-0.3925
225.0	0.1619	-0.4475
230.0	0.1616	-0.4845
235.0	0.1618	-0.5061
240.0	0.1625	-0.5147
245.0	0.1634	-0.5126
250.0	0.1645	-0.5016
255.0	0.1659	-0.4836
260.0	0.1673	-0.4601
265.0	0.1688	-0.4324
270.0	0.1703	-0.4014
275.0	0.1718	-0.3682
280.0	0.1733	-0.3334
285.0	0.1747	-0.2976
290.0	0.1761	-0.2613
295.0	0.1774	-0.2249
300.0	0.1786	-0.1886
305.0	0.1797	-0.1527
310.0	0.1807	-0.1173
315.0	0.1816	-0.08261
320.0	0.1825	-0.04865
325.0	0.1832	-0.01545
340.0	0.1849	0.07915
360.0	0.18600000000000003	0.1938
380.0	0.1859	0.2962
400.0	0.1848	0.3874
420.0	0.1828	0.4682
440.0	0.1801	0.5399
460.0	0.177	0.6038
480.0	0.1735	0.6611
500.0	0.1697	0.7128
520.0	0.1657	0.7599
540.0	0.1616	0.8027
560.0	0.1574	0.8417
580.0	0.1532	0.8773
600.0	0.1489	0.9098
620.0	0.1448	0.9396
640.0	0.1406	0.9671
660.0	0.1366	0.9926
680.0	0.1326	1.016
700.0	0.1287	1.038
720.0	0.1249	1.0590000000000002
740.0	0.1212	1.078
760.0	0.1176	1.095
780.0	0.1141	1.112
800.0	0.1108	1.127
850.0	0.1028	1.161
900.0	0.09548999999999999	1.1909999999999998
950.0	0.08877	1.216
1000.0	0.08262	1.238
1041.0	0.07797	1.254
1050.0	0.07699	1.2570000000000001
1100.0	0.07182000000000001	1.273
1150.0	0.0671	1.288
1200.0	0.06276	1.3
1250.0	0.05878	1.311
1253.6	0.05851	1.3119999999999998
1300.0	0.05511	1.32
1350.0	0.051739999999999994	1.329
1400.0	0.048639999999999996	1.3359999999999999
1450.0	0.04576	1.3419999999999999
1486.6	0.04381	1.3459999999999999
1500.0	0.04312	1.348
