Energy [eV]	Cross Section	Asymmetry Parameter
10.2	21.96	1.065
15.0	6.013999999999999	1.361
16.7	4.09	1.45
20.0	2.124	1.584
21.2	1.719	1.621
25.0	0.9457	1.689
26.8	0.7365	1.6980000000000002
30.0	0.4928	1.6780000000000002
35.0	0.2874	1.56
40.0	0.183	1.354
40.8	0.1715	1.315
45.0	0.1255	1.088
50.0	0.09208999999999999	0.7976
55.0	0.07173	0.522
60.0	0.058820000000000004	0.2908
65.0	0.050289999999999994	0.1177
70.0	0.044410000000000005	0.002358
75.0	0.04017	-0.0642
80.0	0.036969999999999996	-0.09311
85.0	0.03447	-0.0947
90.0	0.03245	-0.07702
95.0	0.03077	-0.046130000000000004
100.0	0.02935	-0.006292
105.0	0.028130000000000002	0.03935
110.0	0.02706	0.08854
115.0	0.026119999999999997	0.1396
120.0	0.02528	0.1912
125.0	0.02452	0.2424
130.0	0.02383	0.2926
132.3	0.023530000000000002	0.3151
135.0	0.023190000000000002	0.3412
140.0	0.022609999999999998	0.38799999999999996
145.0	0.02206	0.4328
150.0	0.02155	0.4757
151.4	0.02141	0.4873
155.0	0.02107	0.5165
160.0	0.0206	0.5555
165.0	0.02017	0.5927
170.0	0.01974	0.6282
175.0	0.01934	0.6623
180.0	0.01895	0.6949
185.0	0.01857	0.7261
190.0	0.0182	0.7562
195.0	0.01784	0.785
200.0	0.017490000000000002	0.8127
205.0	0.01715	0.8393
210.0	0.01681	0.8648
215.0	0.01649	0.8892
220.0	0.01616	0.9126
225.0	0.01585	0.935
230.0	0.01554	0.9564
235.0	0.01524	0.9768
240.0	0.01495	0.9964
245.0	0.01466	1.015
250.0	0.01438	1.033
255.0	0.0141	1.05
260.0	0.01384	1.0659999999999998
265.0	0.013580000000000002	1.082
270.0	0.013319999999999999	1.097
275.0	0.013080000000000001	1.112
280.0	0.01284	1.126
285.0	0.0126	1.139
290.0	0.01238	1.1520000000000001
295.0	0.01215	1.165
300.0	0.011940000000000001	1.177
305.0	0.011729999999999999	1.189
320.0	0.01113	1.222
340.0	0.010409999999999999	1.262
360.0	0.009766	1.298
380.0	0.009184000000000001	1.329
400.0	0.008657999999999999	1.358
420.0	0.00818	1.383
440.0	0.00774	1.406
460.0	0.007333	1.4269999999999998
480.0	0.006954000000000001	1.446
500.0	0.006601	1.464
520.0	0.006273	1.48
540.0	0.005968	1.495
560.0	0.005685	1.508
580.0	0.005422	1.521
600.0	0.005177	1.5330000000000001
620.0	0.004949	1.544
640.0	0.004736	1.554
660.0	0.004538	1.5630000000000002
680.0	0.004353	1.5719999999999998
700.0	0.004181	1.58
720.0	0.004019	1.588
740.0	0.0038659999999999996	1.595
760.0	0.0037229999999999997	1.6019999999999999
780.0	0.003587	1.609
800.0	0.0034579999999999997	1.615
850.0	0.003164	1.6280000000000001
900.0	0.0029059999999999997	1.64
950.0	0.0026780000000000003	1.65
1000.0	0.0024760000000000003	1.659
1041.0	0.002328	1.665
1050.0	0.002298	1.6669999999999998
1100.0	0.002139	1.6740000000000002
1150.0	0.001997	1.68
1200.0	0.0018679999999999999	1.685
1250.0	0.0017519999999999999	1.69
1253.6	0.001744	1.69
1300.0	0.001645	1.694
1350.0	0.0015480000000000001	1.6969999999999998
1400.0	0.00146	1.7
1450.0	0.0013779999999999999	1.703
1486.6	0.001323	1.705
1500.0	0.0013039999999999998	1.705
