Energy [eV]	Cross Section	Asymmetry Parameter
50.0	0.7063	2
55.0	0.6354	2
60.0	0.5847	2
65.0	0.5429	2
70.0	0.5047	2
75.0	0.4684	2
80.0	0.434	2
85.0	0.4019	2
90.0	0.3728	2
95.0	0.3467	2
100.0	0.3235	2
105.0	0.3027	2
110.0	0.2841	2
115.0	0.2673	2
120.0	0.2519	2
125.0	0.2378	2
130.0	0.2248	2
132.3	0.2192	2
135.0	0.2128	2
140.0	0.2016	2
145.0	0.1913	2
150.0	0.1818	2
151.4	0.1793	2
155.0	0.1731	2
160.0	0.1649	2
165.0	0.1574	2
170.0	0.1505	2
175.0	0.14400000000000002	2
180.0	0.1379	2
185.0	0.1323	2
190.0	0.127	2
195.0	0.122	2
200.0	0.1173	2
205.0	0.1128	2
210.0	0.1086	2
215.0	0.1047	2
220.0	0.1009	2
225.0	0.09742	2
230.0	0.09408	2
235.0	0.09093	2
240.0	0.08794	2
245.0	0.08512	2
250.0	0.08244	2
255.0	0.07987999999999999	2
260.0	0.07746	2
265.0	0.07515	2
270.0	0.07293999999999999	2
275.0	0.07084	2
280.0	0.06882	2
285.0	0.06688999999999999	2
290.0	0.06505	2
295.0	0.06327999999999999	2
300.0	0.06159	2
305.0	0.05996	2
310.0	0.0584	2
315.0	0.05691	2
320.0	0.055470000000000005	2
325.0	0.0541	2
330.0	0.052770000000000004	2
335.0	0.0515	2
340.0	0.05028	2
360.0	0.04583	2
380.0	0.041960000000000004	2
400.0	0.03858	2
420.0	0.0356	2
440.0	0.03297	2
460.0	0.030639999999999997	2
480.0	0.028560000000000002	2
500.0	0.02669	2
520.0	0.025	2
540.0	0.023469999999999998	2
560.0	0.022090000000000002	2
580.0	0.02083	2
600.0	0.01967	2
620.0	0.018619999999999998	2
640.0	0.01764	2
660.0	0.01675	2
680.0	0.01592	2
700.0	0.01515	2
720.0	0.01444	2
740.0	0.01378	2
760.0	0.01317	2
780.0	0.01259	2
800.0	0.01206	2
850.0	0.01086	2
900.0	0.009836	2
950.0	0.008953000000000001	2
1000.0	0.008184	2
1041.0	0.007626999999999999	2
1050.0	0.007513	2
1100.0	0.006920999999999999	2
1150.0	0.006398	2
1200.0	0.0059310000000000005	2
1250.0	0.005516	2
1253.6	0.005487	2
1300.0	0.005142	2
1350.0	0.004806	2
1400.0	0.004502	2
1450.0	0.004226	2
1486.6	0.0040409999999999995	2
1500.0	0.0039759999999999995	2
