Energy [eV]	Cross Section	Asymmetry Parameter
245.0	0.2194	2
250.0	0.22699999999999998	2
255.0	0.2317	2
260.0	0.2346	2
265.0	0.2358	2
270.0	0.2353	2
275.0	0.2336	2
280.0	0.2308	2
285.0	0.2273	2
290.0	0.2234	2
295.0	0.2194	2
300.0	0.2154	2
305.0	0.2115	2
310.0	0.2079	2
315.0	0.2044	2
320.0	0.2011	2
325.0	0.198	2
330.0	0.195	2
335.0	0.1922	2
340.0	0.1894	2
345.0	0.1868	2
350.0	0.1841	2
355.0	0.1815	2
360.0	0.1789	2
365.0	0.1763	2
370.0	0.1738	2
375.0	0.1712	2
380.0	0.1686	2
385.0	0.1661	2
390.0	0.1636	2
395.0	0.1611	2
400.0	0.1587	2
405.0	0.1563	2
410.0	0.1539	2
415.0	0.1516	2
420.0	0.1494	2
425.0	0.1472	2
430.0	0.145	2
435.0	0.1429	2
440.0	0.1409	2
445.0	0.1389	2
450.0	0.13699999999999998	2
455.0	0.1351	2
460.0	0.1332	2
465.0	0.1314	2
470.0	0.1296	2
475.0	0.1278	2
480.0	0.1261	2
485.0	0.1244	2
490.0	0.1228	2
495.0	0.1211	2
500.0	0.1195	2
505.0	0.1179	2
510.0	0.1164	2
515.0	0.1149	2
520.0	0.1134	2
525.0	0.1119	2
530.0	0.1104	2
535.0	0.109	2
540.0	0.1076	2
560.0	0.1022	2
580.0	0.09721	2
600.0	0.09258999999999999	2
620.0	0.08831	2
640.0	0.08432	2
660.0	0.08058	2
680.0	0.07706	2
700.0	0.07376	2
720.0	0.07065	2
740.0	0.06774	2
760.0	0.06498999999999999	2
780.0	0.06242	2
800.0	0.06	2
850.0	0.054520000000000006	2
900.0	0.04973	2
950.0	0.04553	2
1000.0	0.041839999999999995	2
1041.0	0.03914	2
1050.0	0.03858	2
1100.0	0.03568	2
1150.0	0.03308	2
1200.0	0.03075	2
1250.0	0.02866	2
1253.6	0.02852	2
1300.0	0.02677	2
1350.0	0.02506	2
1400.0	0.0235	2
1450.0	0.022080000000000002	2
1486.6	0.02112	2
1500.0	0.02078	2
