Energy [eV]	Cross Section	Asymmetry Parameter
10.2	0.1356	2
15.0	0.2184	2
16.7	0.2212	2
20.0	0.2139	2
21.2	0.2093	2
25.0	0.1927	2
26.8	0.1846	2
30.0	0.1707	2
35.0	0.1506	2
40.0	0.133	2
40.8	0.1304	2
45.0	0.1177	2
50.0	0.1045	2
55.0	0.0932	2
60.0	0.08352000000000001	2
65.0	0.07525	2
70.0	0.06816	2
75.0	0.062079999999999996	2
80.0	0.05682	2
85.0	0.05225	2
90.0	0.04825	2
95.0	0.04473	2
100.0	0.0416	2
105.0	0.03882	2
110.0	0.03633	2
115.0	0.034089999999999995	2
120.0	0.03207	2
125.0	0.030239999999999996	2
130.0	0.02858	2
132.3	0.027860000000000003	2
135.0	0.02706	2
140.0	0.02568	2
145.0	0.0244	2
150.0	0.02323	2
151.4	0.02292	2
155.0	0.02214	2
160.0	0.02114	2
165.0	0.0202	2
170.0	0.01932	2
175.0	0.01849	2
180.0	0.01772	2
185.0	0.01699	2
190.0	0.0163	2
195.0	0.01565	2
200.0	0.015030000000000002	2
205.0	0.01445	2
210.0	0.013890000000000001	2
215.0	0.013369999999999998	2
220.0	0.01288	2
225.0	0.01241	2
230.0	0.01196	2
235.0	0.01154	2
240.0	0.01114	2
245.0	0.01075	2
250.0	0.01039	2
255.0	0.01005	2
260.0	0.009719	2
265.0	0.009406999999999999	2
270.0	0.009109	2
275.0	0.008826	2
280.0	0.008556	2
285.0	0.008298	2
290.0	0.008051	2
295.0	0.007816	2
300.0	0.007591	2
305.0	0.007376000000000001	2
320.0	0.006784999999999999	2
340.0	0.006106	2
360.0	0.005527000000000001	2
380.0	0.005029	2
400.0	0.004595	2
420.0	0.004214	2
440.0	0.0038759999999999997	2
460.0	0.0035759999999999998	2
480.0	0.0033090000000000003	2
500.0	0.00307	2
520.0	0.002856	2
540.0	0.002663	2
560.0	0.002489	2
580.0	0.002332	2
600.0	0.002189	2
620.0	0.002059	2
640.0	0.001941	2
660.0	0.001832	2
680.0	0.001732	2
700.0	0.001639	2
720.0	0.0015539999999999998	2
740.0	0.001475	2
760.0	0.001401	2
780.0	0.001333	2
800.0	0.001269	2
850.0	0.001127	2
900.0	0.001008	2
950.0	0.0009066	2
1000.0	0.0008195	2
1041.0	0.0007569	2
1050.0	0.0007441	2
1100.0	0.0006783	2
1150.0	0.0006204	2
1200.0	0.0005692000000000001	2
1250.0	0.000524	2
1253.6	0.0005208999999999999	2
1300.0	0.0004838	2
1350.0	0.0004479	2
1400.0	0.0004157	2
1450.0	0.0003867	2
1486.6	0.0003674	2
1500.0	0.00036060000000000004	2
