Energy [eV]	Cross Section	Asymmetry Parameter
75.0	1.218	1.244
80.0	1.033	1.442
85.0	0.8432	1.195
90.0	0.6968	0.8262
95.0	0.5953	0.4545
100.0	0.5283	0.146
105.0	0.4851	-0.0727
110.0	0.4576	-0.2034
115.0	0.4404	-0.2613
120.0	0.4299	-0.2647
125.0	0.4238	-0.2301
130.0	0.4206	-0.1705
132.3	0.4198	-0.1375
135.0	0.4192	-0.09568
140.0	0.4189	-0.01275
145.0	0.4192	0.07336000000000001
150.0	0.4196	0.1592
151.4	0.4197	0.1829
155.0	0.42	0.2427
160.0	0.4201	0.3223
165.0	0.4198	0.3973
170.0	0.4191	0.4675
175.0	0.418	0.5328
180.0	0.4164	0.5933
185.0	0.4144	0.6494
190.0	0.4121	0.7013
195.0	0.4094	0.7494
200.0	0.4065	0.7941
205.0	0.4033	0.8357
210.0	0.3999	0.8745
215.0	0.3963	0.9107
220.0	0.3925	0.9447
225.0	0.3885	0.9766
230.0	0.3844	1.0070000000000001
235.0	0.3802	1.035
240.0	0.3759	1.062
245.0	0.3715	1.087
250.0	0.3671	1.111
255.0	0.3625	1.133
260.0	0.358	1.155
265.0	0.3533	1.175
270.0	0.3487	1.194
275.0	0.344	1.213
280.0	0.3394	1.23
285.0	0.3347	1.247
290.0	0.3301	1.263
295.0	0.3255	1.2770000000000001
300.0	0.321	1.2919999999999998
305.0	0.3165	1.305
310.0	0.312	1.318
315.0	0.3076	1.331
320.0	0.3032	1.3419999999999999
325.0	0.2989	1.354
330.0	0.2947	1.365
335.0	0.2905	1.375
340.0	0.2864	1.385
345.0	0.2823	1.3940000000000001
350.0	0.2783	1.4040000000000001
355.0	0.2744	1.412
360.0	0.2705	1.421
365.0	0.2667	1.429
370.0	0.2629	1.4369999999999998
380.0	0.2556	1.452
400.0	0.2415	1.479
420.0	0.2283	1.5019999999999998
440.0	0.21600000000000003	1.5230000000000001
460.0	0.2045	1.541
480.0	0.1938	1.557
500.0	0.1839	1.571
520.0	0.1746	1.5830000000000002
540.0	0.1659	1.594
560.0	0.1578	1.604
580.0	0.1502	1.6130000000000002
600.0	0.1431	1.621
620.0	0.1364	1.6280000000000001
640.0	0.1302	1.635
660.0	0.1243	1.641
680.0	0.1189	1.646
700.0	0.1137	1.651
720.0	0.1089	1.655
740.0	0.1043	1.659
760.0	0.09997	1.662
780.0	0.09591000000000001	1.665
800.0	0.09207	1.6680000000000001
850.0	0.08335	1.673
900.0	0.07576000000000001	1.6769999999999998
950.0	0.0691	1.68
1000.0	0.06323	1.682
1041.0	0.058929999999999996	1.683
1050.0	0.058039999999999994	1.683
1100.0	0.05343	1.683
1150.0	0.04931	1.682
1200.0	0.045630000000000004	1.682
1250.0	0.042319999999999997	1.68
1253.6	0.042089999999999995	1.68
1300.0	0.039330000000000004	1.679
1350.0	0.03663	1.6769999999999998
1400.0	0.03419	1.6740000000000002
1450.0	0.03196	1.672
1486.6	0.03046	1.67
1500.0	0.029930000000000002	1.669
