Energy [eV]	Cross Section	Asymmetry Parameter
10.2	0.026969999999999997	2
15.0	0.0661	2
16.7	0.09613	2
20.0	0.1314	2
21.2	0.1386	2
25.0	0.149	2
26.8	0.1499	2
30.0	0.14800000000000002	2
35.0	0.1408	2
40.0	0.1318	2
40.8	0.1303	2
45.0	0.1225	2
50.0	0.1136	2
55.0	0.1053	2
60.0	0.09752000000000001	2
65.0	0.09037	2
70.0	0.08382	2
75.0	0.07781	2
80.0	0.07232999999999999	2
85.0	0.06733	2
90.0	0.06277999999999999	2
95.0	0.05865	2
100.0	0.054889999999999994	2
105.0	0.05147	2
110.0	0.04836	2
115.0	0.04552	2
120.0	0.04294	2
125.0	0.04058	2
130.0	0.03841	2
132.3	0.03748	2
135.0	0.036430000000000004	2
140.0	0.0346	2
145.0	0.03291	2
150.0	0.03136	2
151.4	0.03094	2
155.0	0.02992	2
160.0	0.02858	2
165.0	0.02733	2
170.0	0.026180000000000002	2
175.0	0.0251	2
180.0	0.02409	2
185.0	0.02315	2
190.0	0.02226	2
195.0	0.02143	2
200.0	0.02065	2
205.0	0.01992	2
210.0	0.01923	2
215.0	0.01859	2
220.0	0.01797	2
225.0	0.01739	2
230.0	0.01685	2
235.0	0.01633	2
240.0	0.01584	2
245.0	0.015369999999999998	2
250.0	0.01492	2
255.0	0.0145	2
260.0	0.0141	2
265.0	0.01371	2
270.0	0.013340000000000001	2
275.0	0.01299	2
280.0	0.01265	2
285.0	0.012320000000000001	2
290.0	0.01201	2
295.0	0.01171	2
300.0	0.01142	2
305.0	0.01114	2
320.0	0.01036	2
340.0	0.009444	2
360.0	0.008639	2
380.0	0.007931	2
400.0	0.007306999999999999	2
420.0	0.0067540000000000005	2
440.0	0.006263	2
460.0	0.005824	2
480.0	0.005431	2
500.0	0.005078	2
520.0	0.004759	2
540.0	0.004471	2
560.0	0.00421	2
580.0	0.003972	2
600.0	0.003754	2
620.0	0.0035549999999999996	2
640.0	0.0033710000000000003	2
660.0	0.0032020000000000004	2
680.0	0.003045	2
700.0	0.002898	2
720.0	0.002762	2
740.0	0.002636	2
760.0	0.002517	2
780.0	0.0024059999999999997	2
800.0	0.002302	2
850.0	0.002071	2
900.0	0.001872	2
950.0	0.0017010000000000003	2
1000.0	0.0015539999999999998	2
1041.0	0.0014470000000000002	2
1050.0	0.001425	2
1100.0	0.001312	2
1150.0	0.001212	2
1200.0	0.001123	2
1250.0	0.0010429999999999999	2
1253.6	0.001037	2
1300.0	0.0009712	2
1350.0	0.0009067	2
1400.0	0.0008485	2
1450.0	0.0007957999999999999	2
1486.6	0.0007603	2
1500.0	0.0007477	2
