Energy [eV]	Cross Section	Asymmetry Parameter
320.0	0.2074	2
340.0	0.198	2
360.0	0.1835	2
380.0	0.1714	2
400.0	0.1607	2
420.0	0.1505	2
440.0	0.1414	2
460.0	0.1333	2
480.0	0.1257	2
500.0	0.1186	2
520.0	0.1122	2
540.0	0.1064	2
560.0	0.1009	2
580.0	0.09582	2
600.0	0.09112	2
620.0	0.08678999999999999	2
640.0	0.08276	2
660.0	0.079	2
680.0	0.07547000000000001	2
700.0	0.07217	2
720.0	0.06909	2
740.0	0.06622	2
760.0	0.06352000000000001	2
780.0	0.06097	2
800.0	0.058570000000000004	2
850.0	0.05317	2
900.0	0.04849	2
950.0	0.0444	2
1000.0	0.04081	2
1041.0	0.03818	2
1050.0	0.03764	2
1100.0	0.03482	2
1150.0	0.032310000000000005	2
1200.0	0.03007	2
1250.0	0.02805	2
1253.6	0.02791	2
1300.0	0.02623	2
1350.0	0.02458	2
1400.0	0.02308	2
1450.0	0.02172	2
1486.6	0.0208	2
1500.0	0.02047	2
