Energy [eV]	Cross Section	Asymmetry Parameter
45.0	0.8008	2
50.0	0.6954	2
55.0	0.6284	2
60.0	0.5792	2
65.0	0.5376	2
70.0	0.499	2
75.0	0.4622	2
80.0	0.4275	2
85.0	0.3956	2
90.0	0.3668	2
95.0	0.341	2
100.0	0.3181	2
105.0	0.2977	2
110.0	0.2794	2
115.0	0.2628	2
120.0	0.2476	2
125.0	0.2336	2
130.0	0.2207	2
132.3	0.2151	2
135.0	0.2088	2
140.0	0.1978	2
145.0	0.1877	2
150.0	0.1784	2
151.4	0.1759	2
155.0	0.1697	2
160.0	0.1618	2
165.0	0.1544	2
170.0	0.1475	2
175.0	0.1412	2
180.0	0.1352	2
185.0	0.1296	2
190.0	0.1244	2
195.0	0.1195	2
200.0	0.1148	2
205.0	0.1105	2
210.0	0.1064	2
215.0	0.1025	2
220.0	0.09882	2
225.0	0.09536	2
230.0	0.09208999999999999	2
235.0	0.08900000000000001	2
240.0	0.08607000000000001	2
245.0	0.0833	2
250.0	0.08067	2
255.0	0.07817	2
260.0	0.07579	2
265.0	0.07352	2
270.0	0.07135	2
275.0	0.06929	2
280.0	0.06731000000000001	2
285.0	0.06542	2
290.0	0.06361	2
295.0	0.06187	2
300.0	0.06021	2
305.0	0.058620000000000005	2
310.0	0.0571	2
315.0	0.05563	2
320.0	0.054229999999999993	2
325.0	0.052879999999999996	2
330.0	0.05159	2
335.0	0.050339999999999996	2
340.0	0.049139999999999996	2
360.0	0.04478	2
380.0	0.04099	2
400.0	0.03768	2
420.0	0.03477	2
440.0	0.0322	2
460.0	0.02992	2
480.0	0.027880000000000002	2
500.0	0.02605	2
520.0	0.024390000000000002	2
540.0	0.0229	2
560.0	0.02155	2
580.0	0.020309999999999998	2
600.0	0.019190000000000002	2
620.0	0.01815	2
640.0	0.0172	2
660.0	0.016319999999999998	2
680.0	0.015519999999999999	2
700.0	0.014769999999999998	2
720.0	0.01407	2
740.0	0.013430000000000001	2
760.0	0.012830000000000001	2
780.0	0.01227	2
800.0	0.01174	2
850.0	0.010579999999999999	2
900.0	0.009575	2
950.0	0.008713	2
1000.0	0.007964	2
1041.0	0.00742	2
1050.0	0.007309	2
1100.0	0.006731	2
1150.0	0.006222	2
1200.0	0.005767	2
1250.0	0.005362	2
1253.6	0.005335	2
1300.0	0.004999	2
1350.0	0.004671	2
1400.0	0.004376	2
1450.0	0.004107	2
1486.6	0.003927	2
1500.0	0.0038640000000000002	2
