Energy [eV]	Cross Section	Asymmetry Parameter
10.2	0.08788	2
15.0	0.04709	2
16.7	0.08111	2
20.0	0.1261	2
21.2	0.1362	2
25.0	0.1533	2
26.8	0.1562	2
30.0	0.1568	2
35.0	0.1512	2
40.0	0.1425	2
40.8	0.141	2
45.0	0.1329	2
50.0	0.1234	2
55.0	0.1143	2
60.0	0.1058	2
65.0	0.09799	2
70.0	0.09077	2
75.0	0.08416	2
80.0	0.07812000000000001	2
85.0	0.07262	2
90.0	0.06763	2
95.0	0.06309	2
100.0	0.05898	2
105.0	0.05524	2
110.0	0.05185	2
115.0	0.04877	2
120.0	0.04596	2
125.0	0.04339	2
130.0	0.04105	2
132.3	0.04003	2
135.0	0.03889	2
140.0	0.03692	2
145.0	0.0351	2
150.0	0.03341	2
151.4	0.03297	2
155.0	0.03186	2
160.0	0.03042	2
165.0	0.02908	2
170.0	0.02783	2
175.0	0.02667	2
180.0	0.025580000000000002	2
185.0	0.02456	2
190.0	0.02361	2
195.0	0.022719999999999997	2
200.0	0.02188	2
205.0	0.0211	2
210.0	0.02036	2
215.0	0.01966	2
220.0	0.019	2
225.0	0.01838	2
230.0	0.01779	2
235.0	0.017230000000000002	2
240.0	0.0167	2
245.0	0.0162	2
250.0	0.015719999999999998	2
255.0	0.015269999999999999	2
260.0	0.014830000000000001	2
265.0	0.014419999999999999	2
270.0	0.01402	2
275.0	0.013640000000000001	2
280.0	0.013280000000000002	2
285.0	0.01293	2
290.0	0.0126	2
295.0	0.01227	2
300.0	0.01196	2
305.0	0.01167	2
320.0	0.01083	2
340.0	0.009851	2
360.0	0.008993000000000001	2
380.0	0.008239	2
400.0	0.007575	2
420.0	0.006987999999999999	2
440.0	0.0064659999999999995	2
460.0	0.006002	2
480.0	0.005586	2
500.0	0.005213000000000001	2
520.0	0.004876	2
540.0	0.004572	2
560.0	0.004297	2
580.0	0.004047	2
600.0	0.0038179999999999998	2
620.0	0.0036090000000000002	2
640.0	0.0034170000000000003	2
660.0	0.00324	2
680.0	0.003076	2
700.0	0.0029230000000000003	2
720.0	0.002782	2
740.0	0.00265	2
760.0	0.002527	2
780.0	0.002411	2
800.0	0.002304	2
850.0	0.0020629999999999997	2
900.0	0.0018579999999999998	2
950.0	0.0016820000000000001	2
1000.0	0.001529	2
1041.0	0.001419	2
1050.0	0.001397	2
1100.0	0.00128	2
1150.0	0.001178	2
1200.0	0.0010869999999999999	2
1250.0	0.001006	2
1253.6	0.001	2
1300.0	0.0009327999999999999	2
1350.0	0.0008672	2
1400.0	0.0008079000000000001	2
1450.0	0.0007546	2
1486.6	0.0007186	2
1500.0	0.0007061	2
