Energy [eV]	Cross Section	Asymmetry Parameter
40.0	0.3694	2
40.8	0.3713	2
60.0	0.3168	2
80.0	0.244	2
100.0	0.1898	2
120.0	0.1501	2
132.3	0.1317	2
140.0	0.1219	2
151.4	0.1095	2
160.0	0.1014	2
180.0	0.08572	2
200.0	0.07346	2
220.0	0.06373999999999999	2
240.0	0.055929999999999994	2
260.0	0.04954	2
280.0	0.04423	2
300.0	0.03975	2
320.0	0.03595	2
340.0	0.0327	2
360.0	0.029889999999999996	2
380.0	0.02745	2
400.0	0.02531	2
420.0	0.02341	2
440.0	0.021730000000000003	2
460.0	0.02022	2
480.0	0.01888	2
500.0	0.017669999999999998	2
520.0	0.016569999999999998	2
540.0	0.015580000000000002	2
560.0	0.014669999999999999	2
580.0	0.01384	2
600.0	0.013080000000000001	2
620.0	0.01239	2
640.0	0.01175	2
660.0	0.01116	2
680.0	0.01061	2
700.0	0.0101	2
720.0	0.009631	2
740.0	0.009192	2
760.0	0.008783	2
780.0	0.008401	2
800.0	0.008043000000000002	2
850.0	0.007242	2
900.0	0.006555	2
950.0	0.005963	2
1000.0	0.005448	2
1041.0	0.005074	2
1050.0	0.004997	2
1100.0	0.004599	2
1150.0	0.004248	2
1200.0	0.003935	2
1250.0	0.0036560000000000004	2
1253.6	0.0036369999999999996	2
1300.0	0.0034049999999999996	2
1350.0	0.00318	2
1400.0	0.002977	2
1450.0	0.002791	2
1486.6	0.002668	2
1500.0	0.002624	2
