Energy [eV]	Cross Section	Asymmetry Parameter
945.0	1.0859999999999999	0.5565
950.0	0.9315	0.531
955.0	0.9503	0.5609
960.0	0.9956	0.6057
965.0	1.0270000000000001	0.6501
970.0	1.04	0.6912
975.0	1.04	0.7286
980.0	1.03	0.7628
985.0	1.016	0.794
990.0	0.9991	0.8226
995.0	0.9817	0.8491
1000.0	0.9647	0.8737
1005.0	0.9486	0.8967
1010.0	0.9336	0.9182
1015.0	0.9198	0.9385
1020.0	0.9069	0.9576
1025.0	0.8949	0.9758
1030.0	0.8836	0.9931
1035.0	0.8728	1.01
1040.0	0.8624	1.025
1041.0	0.8603	1.028
1045.0	0.8522	1.04
1050.0	0.8422	1.055
1055.0	0.8323	1.069
1060.0	0.8224	1.082
1065.0	0.8126	1.095
1070.0	0.8028	1.107
1075.0	0.7931	1.1179999999999999
1080.0	0.7834	1.13
1085.0	0.7738	1.14
1090.0	0.7644	1.151
1095.0	0.7551	1.161
1100.0	0.7459	1.17
1105.0	0.7369	1.179
1110.0	0.7281	1.188
1115.0	0.7195	1.196
1120.0	0.7111	1.204
1125.0	0.7029	1.212
1130.0	0.6949	1.22
1135.0	0.687	1.227
1140.0	0.6794	1.234
1145.0	0.6719	1.24
1150.0	0.6646	1.247
1155.0	0.6574	1.253
1160.0	0.6504	1.2590000000000001
1165.0	0.6435	1.265
1170.0	0.6367	1.27
1175.0	0.63	1.276
1180.0	0.6234	1.281
1185.0	0.6169	1.286
1190.0	0.6105	1.291
1195.0	0.6041	1.295
1200.0	0.5979	1.3
1205.0	0.5917	1.304
1210.0	0.5855	1.3090000000000002
1215.0	0.5795	1.3130000000000002
1220.0	0.5735	1.317
1225.0	0.5675	1.321
1230.0	0.5617	1.325
1235.0	0.5559	1.329
1250.0	0.5389	1.339
1253.6	0.535	1.341
1300.0	0.4872	1.368
1350.0	0.4424	1.39
1400.0	0.4027	1.4069999999999998
1450.0	0.3673	1.419
1486.6	0.3439	1.426
1500.0	0.3358	1.429
