Energy [eV]	Cross Section	Asymmetry Parameter
16.7	6.172000000000001	-0.1768
20.0	6.961	-0.2308
21.2	7.2170000000000005	-0.2274
25.0	7.939	-0.1843
26.8	8.243	-0.1558
30.0	8.732999999999999	-0.1006
35.0	9.375	-0.013059999999999999
40.0	9.863	0.07003
40.8	9.926	0.08275
45.0	10.19	0.1466
50.0	10.34	0.2165
55.0	10.34	0.28
60.0	10.2	0.3379
65.0	9.96	0.3909
70.0	9.645	0.4394
75.0	9.283999999999999	0.484
80.0	8.9	0.5252
85.0	8.509	0.5635
90.0	8.121	0.5991
95.0	7.742999999999999	0.6324
100.0	7.379	0.6636
105.0	7.029	0.6929
110.0	6.693	0.7205
115.0	6.372000000000001	0.7466
120.0	6.065	0.7712
125.0	5.77	0.7946
130.0	5.4879999999999995	0.8166
132.3	5.362	0.8264
135.0	5.2170000000000005	0.8375
140.0	4.959	0.8574
145.0	4.712	0.8762
150.0	4.476	0.8941
151.4	4.412	0.8989
155.0	4.251	0.9109999999999999
160.0	4.038	0.9271
165.0	3.8360000000000003	0.9423
170.0	3.6439999999999997	0.9568
175.0	3.463	0.9706
180.0	3.2910000000000004	0.9837
185.0	3.13	0.9961
190.0	2.977	1.008
195.0	2.8339999999999996	1.0190000000000001
200.0	2.698	1.03
205.0	2.571	1.04
210.0	2.45	1.0490000000000002
215.0	2.3369999999999997	1.0590000000000002
220.0	2.229	1.067
225.0	2.128	1.0759999999999998
230.0	2.032	1.084
235.0	1.9409999999999998	1.091
240.0	1.8559999999999999	1.0979999999999999
245.0	1.774	1.105
250.0	1.6969999999999998	1.112
255.0	1.624	1.1179999999999999
260.0	1.554	1.124
265.0	1.4880000000000002	1.129
270.0	1.426	1.135
275.0	1.3659999999999999	1.14
280.0	1.31	1.145
285.0	1.256	1.149
290.0	1.205	1.1540000000000001
295.0	1.156	1.158
300.0	1.11	1.162
305.0	1.0659999999999998	1.165
310.0	1.024	1.169
320.0	0.9456	1.175
340.0	0.8105	1.186
360.0	0.6986	1.195
380.0	0.6055	1.202
400.0	0.5275	1.207
420.0	0.4615	1.21
440.0	0.4055	1.212
460.0	0.3577	1.213
480.0	0.3167	1.213
500.0	0.2814	1.213
520.0	0.251	1.2109999999999999
540.0	0.2245	1.209
560.0	0.2015	1.207
580.0	0.1814	1.204
600.0	0.1638	1.2
620.0	0.1482	1.196
640.0	0.1345	1.192
660.0	0.1223	1.187
680.0	0.1115	1.183
700.0	0.1018	1.178
720.0	0.09317	1.173
740.0	0.08542999999999999	1.168
760.0	0.07847	1.162
780.0	0.07221	1.157
800.0	0.06657	1.151
850.0	0.0547	1.136
900.0	0.045360000000000004	1.121
950.0	0.03793	1.1059999999999999
1000.0	0.03196	1.091
1041.0	0.02792	1.079
1050.0	0.02712	1.0759999999999998
1100.0	0.02316	1.062
1150.0	0.01991	1.047
1200.0	0.0172	1.032
1250.0	0.01494	1.018
1253.6	0.014790000000000001	1.0170000000000001
1300.0	0.013030000000000002	1.005
1350.0	0.01142	0.9911
1400.0	0.01005	0.9779
1450.0	0.008878	0.965
1486.6	0.008126000000000001	0.9557
1500.0	0.007871	0.9524
