Energy [eV]	Cross Section	Asymmetry Parameter
300.0	0.4146	-0.7
320.0	0.4081	-0.235
340.0	0.4066	0.1211
360.0	0.4012	0.3777
380.0	0.3945	0.5658
400.0	0.3867	0.7155
420.0	0.3776	0.8351
440.0	0.3679	0.9315
460.0	0.3581	1.012
480.0	0.3478	1.081
500.0	0.3373	1.139
520.0	0.327	1.19
540.0	0.3168	1.2329999999999999
560.0	0.3068	1.272
580.0	0.2969	1.306
600.0	0.2873	1.337
620.0	0.278	1.364
640.0	0.2691	1.3880000000000001
660.0	0.2604	1.41
680.0	0.2521	1.43
700.0	0.244	1.449
720.0	0.2362	1.465
740.0	0.2288	1.4809999999999999
760.0	0.2216	1.495
780.0	0.2147	1.507
800.0	0.2081	1.5190000000000001
850.0	0.1926	1.545
900.0	0.1787	1.567
950.0	0.1661	1.585
1000.0	0.1546	1.6
1041.0	0.1461	1.611
1050.0	0.1443	1.6130000000000002
1100.0	0.1348	1.624
1150.0	0.1262	1.6340000000000001
1200.0	0.1183	1.642
1250.0	0.1111	1.649
1253.6	0.1107	1.649
1300.0	0.1045	1.655
1350.0	0.09847	1.66
1400.0	0.09289	1.6640000000000001
1450.0	0.08772999999999999	1.6680000000000001
1486.6	0.08421000000000001	1.67
1500.0	0.08297	1.671
