Energy [eV]	Cross Section	Asymmetry Parameter
180.0	0.5920000000000001	-0.5505
185.0	0.742	-0.9442
190.0	0.8775	-0.6362
195.0	0.8874	-0.086
200.0	0.8113	0.3803
205.0	0.7126	0.7273
210.0	0.6152	0.9628
215.0	0.5283	1.087
220.0	0.4559	1.0959999999999999
225.0	0.3994	0.992
230.0	0.3577	0.7916
235.0	0.3289	0.5215
240.0	0.3111	0.217
245.0	0.3022	-0.08634
250.0	0.3005	-0.3596
255.0	0.3047	-0.5845
260.0	0.3135	-0.7539
265.0	0.3257	-0.8698
270.0	0.3406	-0.9390000000000001
275.0	0.3574	-0.9703
280.0	0.3756	-0.9725
285.0	0.3947	-0.9531
290.0	0.4144	-0.9183
295.0	0.4344	-0.8728
300.0	0.4544	-0.8203
305.0	0.4744	-0.7635
310.0	0.494	-0.7043
315.0	0.5131	-0.6443
320.0	0.5317	-0.5845
325.0	0.5495	-0.5255
330.0	0.5666	-0.46799999999999997
335.0	0.5828	-0.4122
340.0	0.5982	-0.3583
345.0	0.6128	-0.3063
350.0	0.6265	-0.2563
355.0	0.6395	-0.2083
360.0	0.6516	-0.1621
365.0	0.6629999999999999	-0.1178
370.0	0.6736	-0.07526000000000001
375.0	0.6834	-0.03442
380.0	0.6926	0.0047740000000000005
385.0	0.701	0.0424
390.0	0.7087	0.07851
395.0	0.7157	0.1132
400.0	0.7221	0.1464
405.0	0.7278	0.1784
410.0	0.7329	0.209
415.0	0.7374	0.2385
420.0	0.7413	0.2668
425.0	0.7448	0.294
430.0	0.7477	0.3202
435.0	0.7501	0.3454
440.0	0.7521	0.3698
445.0	0.7537	0.3932
450.0	0.7549	0.4159
455.0	0.7558	0.4378
460.0	0.7562	0.4589
465.0	0.7563	0.4794
470.0	0.7561	0.4992
475.0	0.7556	0.5183
480.0	0.7548	0.5369
500.0	0.7488	0.6054
520.0	0.7392	0.6659999999999999
540.0	0.727	0.7199
560.0	0.7127	0.768
580.0	0.6969	0.8114
600.0	0.68	0.8506
620.0	0.6623	0.8862
640.0	0.6442	0.9186
660.0	0.6258	0.9481
680.0	0.6074	0.9751
700.0	0.589	1.0
720.0	0.5709	1.023
740.0	0.5529999999999999	1.044
760.0	0.5354	1.064
780.0	0.5182	1.082
800.0	0.5015	1.0979999999999999
850.0	0.4618	1.135
900.0	0.4251	1.166
950.0	0.3914	1.192
1000.0	0.3606	1.214
1041.0	0.3374	1.23
1050.0	0.3325	1.2329999999999999
1100.0	0.3069	1.249
1150.0	0.2836	1.262
1200.0	0.2624	1.274
1250.0	0.2431	1.284
1253.6	0.2418	1.285
1300.0	0.2255	1.2919999999999998
1350.0	0.2094	1.2990000000000002
1400.0	0.1947	1.305
1450.0	0.1813	1.31
1486.6	0.1722	1.3130000000000002
1500.0	0.16899999999999998	1.314
