Energy [eV]	Cross Section	Asymmetry Parameter
30.0	1.5330000000000001	0.09022000000000001
35.0	8.314	1.835
40.0	4.713	1.91
40.81	4.322	1.91
45.0	2.82	1.8719999999999999
50.0	1.7790000000000001	1.751
55.0	1.186	1.561
60.0	0.8347	1.3159999999999998
65.0	0.6186	1.037
70.0	0.4815	0.7475
75.0	0.3923	0.4765
80.0	0.3331	0.2473
85.0	0.2932	0.07392
90.0	0.2657	-0.04087
95.0	0.2464	-0.1034
100.0	0.2323	-0.1241
105.0	0.2217	-0.1141
110.0	0.2134	-0.08276
115.0	0.2067	-0.03746
120.0	0.201	0.01653
125.0	0.1961	0.07542
130.0	0.1916	0.1366
132.3	0.1897	0.165
135.0	0.1876	0.1982
140.0	0.1838	0.2589
145.0	0.1803	0.3179
150.0	0.1768	0.3745
151.4	0.1759	0.3899
155.0	0.1735	0.4286
160.0	0.1703	0.4798
165.0	0.1672	0.5283
170.0	0.1641	0.574
175.0	0.1611	0.6172
180.0	0.1581	0.6579999999999999
185.0	0.1552	0.6966
190.0	0.1524	0.7331
195.0	0.1496	0.7678
200.0	0.1469	0.8007
205.0	0.1442	0.8319
210.0	0.1416	0.8616
215.0	0.1391	0.8899
220.0	0.1366	0.9168
225.0	0.1341	0.9424
230.0	0.1317	0.9668
235.0	0.1294	0.99
240.0	0.1271	1.012
245.0	0.1248	1.033
250.0	0.1226	1.053
255.0	0.1205	1.072
260.0	0.1184	1.091
265.0	0.1164	1.1079999999999999
270.0	0.1144	1.125
275.0	0.1125	1.141
280.0	0.1106	1.157
285.0	0.1087	1.172
290.0	0.1069	1.186
295.0	0.1052	1.2
300.0	0.1034	1.213
305.0	0.1018	1.226
310.0	0.1001	1.238
315.0	0.09851	1.25
320.0	0.09694	1.262
325.0	0.09541000000000001	1.273
340.0	0.09101000000000001	1.304
360.0	0.0856	1.341
380.0	0.08067	1.3730000000000002
400.0	0.07615	1.401
420.0	0.07200000000000001	1.4269999999999998
440.0	0.06817000000000001	1.45
460.0	0.06465	1.4709999999999999
480.0	0.06139	1.489
500.0	0.058379999999999994	1.506
520.0	0.0556	1.521
540.0	0.053	1.535
560.0	0.05058	1.548
580.0	0.04833	1.56
600.0	0.04622	1.571
620.0	0.04426	1.581
640.0	0.04241	1.59
660.0	0.04068	1.598
680.0	0.039060000000000004	1.6059999999999999
700.0	0.03753	1.6130000000000002
720.0	0.03609	1.62
740.0	0.034730000000000004	1.626
760.0	0.03344	1.632
780.0	0.03223	1.6380000000000001
800.0	0.03108	1.643
850.0	0.028460000000000003	1.6540000000000001
900.0	0.026160000000000003	1.6640000000000001
950.0	0.02412	1.672
1000.0	0.02232	1.6780000000000002
1041.0	0.020980000000000002	1.683
1050.0	0.0207	1.6840000000000002
1100.0	0.01925	1.689
1150.0	0.01794	1.693
1200.0	0.01676	1.6969999999999998
1250.0	0.01569	1.7
1253.6	0.015619999999999998	1.7
1300.0	0.014719999999999999	1.702
1350.0	0.01383	1.704
1400.0	0.013019999999999999	1.705
1450.0	0.01227	1.7069999999999999
1486.6	0.01176	1.7069999999999999
1500.0	0.011590000000000001	1.7069999999999999
