Energy [eV]	Cross Section	Asymmetry Parameter
625.0	0.08208	0.2196
630.0	0.08689	0.07385
635.0	0.08801	-0.09242
640.0	0.09179	-0.1372
645.0	0.1035	0.07851
650.0	0.1271	0.4916
655.0	0.1684	0.9273
660.0	0.23399999999999999	1.263
665.0	0.3297	1.4609999999999999
670.0	0.4586	1.544
675.0	0.6214	1.547
680.0	0.8182	1.5030000000000001
685.0	1.048	1.433
690.0	1.308	1.351
695.0	1.591	1.266
700.0	1.885	1.181
705.0	2.176	1.1
710.0	2.4530000000000003	1.025
715.0	2.7089999999999996	0.9556
720.0	2.938	0.892
725.0	3.138	0.8342
730.0	3.3110000000000004	0.7816
735.0	3.455	0.7341
740.0	3.572	0.6911
745.0	3.6639999999999997	0.6523
750.0	3.7319999999999998	0.6175
755.0	3.782	0.5863
760.0	3.815	0.5583
765.0	3.835	0.5334
770.0	3.846	0.5112
775.0	3.8489999999999998	0.4915
780.0	3.846	0.4741
785.0	3.8369999999999997	0.4586
790.0	3.824	0.4451
795.0	3.807	0.4332
800.0	3.787	0.4228
805.0	3.763	0.4137
810.0	3.737	0.406
815.0	3.71	0.3993
820.0	3.681	0.3937
825.0	3.6510000000000002	0.3891
830.0	3.6210000000000004	0.3853
835.0	3.591	0.3824
840.0	3.56	0.3801
845.0	3.53	0.3786
850.0	3.4989999999999997	0.3776
855.0	3.469	0.3772
860.0	3.438	0.3772
865.0	3.408	0.3778
870.0	3.377	0.3787
875.0	3.346	0.38
880.0	3.315	0.3817
885.0	3.285	0.3837
890.0	3.2539999999999996	0.3859
895.0	3.2230000000000003	0.3885
900.0	3.193	0.3912
905.0	3.1630000000000003	0.3942
910.0	3.133	0.3974
915.0	3.1039999999999996	0.4008
920.0	3.075	0.4044
950.0	2.907	0.4283
1000.0	2.6430000000000002	0.4736
1041.0	2.445	0.5121
1050.0	2.403	0.5205
1100.0	2.185	0.5661
1150.0	1.9880000000000002	0.6089
1200.0	1.8090000000000002	0.6487
1250.0	1.6480000000000001	0.6852
1253.6	1.6369999999999998	0.6877
1300.0	1.504	0.7186
1350.0	1.3730000000000002	0.7491
1400.0	1.256	0.7768
1450.0	1.15	0.802
1486.6	1.079	0.8191
1500.0	1.055	0.8251
