Energy [eV]	Cross Section	Asymmetry Parameter
260.0	0.2736	-0.7883
265.0	0.2823	-0.9507
270.0	0.2882	-0.8189
275.0	0.2896	-0.6749
280.0	0.2893	-0.5486
285.0	0.2887	-0.4377
290.0	0.2884	-0.3362
295.0	0.2884	-0.2407
300.0	0.2885	-0.1505
305.0	0.2885	-0.06606000000000001
310.0	0.2883	0.01183
315.0	0.2879	0.08287
320.0	0.2872	0.1474
325.0	0.2865	0.2061
330.0	0.2856	0.26
335.0	0.2847	0.31
340.0	0.2837	0.35700000000000004
345.0	0.2827	0.4015
350.0	0.2816	0.4439
355.0	0.2804	0.4842
360.0	0.2792	0.5225
365.0	0.2779	0.5588
370.0	0.2764	0.5932
375.0	0.2749	0.6255
380.0	0.2734	0.6559999999999999
385.0	0.2718	0.6848
390.0	0.2702	0.7120000000000001
395.0	0.2685	0.7378
400.0	0.2669	0.7623
405.0	0.2652	0.7858
410.0	0.2635	0.8083
415.0	0.2618	0.83
420.0	0.2601	0.8509
425.0	0.2583	0.8711
430.0	0.2565	0.8906
435.0	0.2547	0.9093
440.0	0.2529	0.9274
445.0	0.251	0.9448
450.0	0.2492	0.9615
455.0	0.2473	0.9775
460.0	0.2454	0.9929
465.0	0.2435	1.008
470.0	0.2417	1.022
475.0	0.2398	1.036
480.0	0.23800000000000002	1.0490000000000002
485.0	0.2361	1.062
490.0	0.2343	1.074
495.0	0.2325	1.0859999999999999
500.0	0.2306	1.0979999999999999
505.0	0.2288	1.109
510.0	0.22699999999999998	1.12
515.0	0.2252	1.131
520.0	0.2234	1.141
525.0	0.2216	1.151
530.0	0.2198	1.161
535.0	0.218	1.171
540.0	0.2162	1.18
545.0	0.2144	1.189
550.0	0.2127	1.198
555.0	0.2109	1.207
560.0	0.2092	1.215
580.0	0.2025	1.246
600.0	0.1959	1.274
620.0	0.1896	1.3
640.0	0.1835	1.324
660.0	0.1776	1.345
680.0	0.172	1.365
700.0	0.1666	1.383
720.0	0.1614	1.4
740.0	0.1564	1.416
760.0	0.1516	1.431
780.0	0.1469	1.444
800.0	0.1425	1.4569999999999999
850.0	0.1322	1.486
900.0	0.1229	1.51
950.0	0.1145	1.531
1000.0	0.1069	1.55
1041.0	0.1012	1.5630000000000002
1050.0	0.1	1.5659999999999998
1100.0	0.09372	1.58
1150.0	0.08799	1.5930000000000002
1200.0	0.08275	1.604
1250.0	0.07796	1.614
1253.6	0.07762999999999999	1.615
1300.0	0.07357000000000001	1.6230000000000002
1350.0	0.06952	1.632
1400.0	0.06579	1.639
1450.0	0.06235	1.646
1486.6	0.06	1.65
1500.0	0.05917000000000001	1.652
