Energy [eV]	Cross Section	Asymmetry Parameter
30.0	9.876	1.839
35.0	5.3629999999999995	1.946
40.0	3.08	1.867
40.81	2.832	1.844
45.0	1.885	1.682
50.0	1.236	1.42
55.0	0.8665	1.111
60.0	0.6461	0.79
65.0	0.5095	0.4898
70.0	0.4222	0.2396
75.0	0.3651	0.056179999999999994
80.0	0.3266	-0.05844
85.0	0.2999	-0.1134
90.0	0.2807	-0.1227
95.0	0.2661	-0.1003
100.0	0.2546	-0.05736
105.0	0.2451	-0.001884
110.0	0.2369	0.06068
115.0	0.2298	0.1267
120.0	0.2234	0.1936
125.0	0.2174	0.2599
130.0	0.2119	0.3242
132.3	0.2095	0.353
135.0	0.2067	0.386
140.0	0.2018	0.4447
145.0	0.19699999999999998	0.5001
150.0	0.1924	0.5522
151.4	0.1912	0.5662
155.0	0.188	0.6011
160.0	0.1837	0.647
165.0	0.1796	0.6901
170.0	0.1756	0.7306
175.0	0.1717	0.7689
180.0	0.1679	0.805
185.0	0.1643	0.8392
190.0	0.1607	0.8716
195.0	0.1573	0.9024
200.0	0.1539	0.9315
205.0	0.1507	0.9592
210.0	0.1475	0.9855
215.0	0.1444	1.01
220.0	0.1414	1.034
225.0	0.1385	1.056
230.0	0.1357	1.078
235.0	0.133	1.0979999999999999
240.0	0.1303	1.117
245.0	0.1278	1.136
250.0	0.1253	1.153
255.0	0.1228	1.17
260.0	0.1205	1.186
265.0	0.1182	1.2009999999999998
270.0	0.11599999999999999	1.216
275.0	0.1138	1.23
280.0	0.1117	1.244
285.0	0.1097	1.2570000000000001
290.0	0.1077	1.27
295.0	0.1058	1.2819999999999998
300.0	0.1039	1.294
305.0	0.102	1.305
310.0	0.1002	1.3159999999999998
315.0	0.0985	1.327
320.0	0.0968	1.337
325.0	0.09514	1.3459999999999999
340.0	0.09043	1.374
360.0	0.08469	1.406
380.0	0.07948999999999999	1.4340000000000002
400.0	0.07476000000000001	1.459
420.0	0.07042999999999999	1.482
440.0	0.06648	1.5019999999999998
460.0	0.06286	1.52
480.0	0.05952999999999999	1.536
500.0	0.056470000000000006	1.55
520.0	0.05363	1.564
540.0	0.05101	1.5759999999999998
560.0	0.04857	1.587
580.0	0.0463	1.597
600.0	0.0442	1.6059999999999999
620.0	0.042230000000000004	1.615
640.0	0.0404	1.6219999999999999
660.0	0.03868	1.629
680.0	0.03706	1.636
700.0	0.03555	1.642
720.0	0.03413	1.6480000000000001
740.0	0.03279	1.653
760.0	0.03153	1.6580000000000001
780.0	0.030330000000000003	1.662
800.0	0.029210000000000003	1.666
850.0	0.02665	1.675
900.0	0.0244	1.683
950.0	0.022430000000000002	1.689
1000.0	0.02068	1.694
1041.0	0.01939	1.6980000000000002
1050.0	0.019119999999999998	1.6980000000000002
1100.0	0.017730000000000003	1.702
1150.0	0.01647	1.705
1200.0	0.01535	1.7069999999999999
1250.0	0.01433	1.7080000000000002
1253.6	0.01426	1.7080000000000002
1300.0	0.0134	1.709
1350.0	0.01256	1.71
1400.0	0.01179	1.7109999999999999
1450.0	0.011090000000000001	1.7109999999999999
1486.6	0.01061	1.7109999999999999
1500.0	0.01045	1.7109999999999999
