Energy [eV]	Cross Section	Asymmetry Parameter
15.0	3.1630000000000003	0.6502
16.71	3.511	0.215
20.0	4.428999999999999	-0.1149
21.22	4.801	-0.1492
25.0	5.9479999999999995	-0.1404
26.86	6.477	-0.1081
30.0	7.278	-0.04083
35.0	8.221	0.07007999999999999
40.0	8.713	0.1716
40.81	8.751	0.1868
45.0	8.81	0.261
50.0	8.633	0.3397
55.0	8.298	0.4095
60.0	7.89	0.4721
65.0	7.457000000000001	0.5287
70.0	7.021	0.5803
75.0	6.593999999999999	0.6277
80.0	6.1770000000000005	0.6713
85.0	5.775	0.7116
90.0	5.3870000000000005	0.7489
95.0	5.015	0.7834
100.0	4.662	0.8154
105.0	4.329	0.845
110.0	4.019	0.8725
115.0	3.73	0.8979
120.0	3.464	0.9215
125.0	3.219	0.9435
130.0	2.9939999999999998	0.9639
132.3	2.897	0.9728
135.0	2.7880000000000003	0.9829
140.0	2.5989999999999998	1.001
145.0	2.425	1.0170000000000001
150.0	2.265	1.033
151.4	2.2230000000000003	1.037
155.0	2.1180000000000003	1.047
160.0	1.983	1.061
165.0	1.857	1.073
170.0	1.7409999999999999	1.085
175.0	1.633	1.0959999999999999
180.0	1.534	1.107
185.0	1.4409999999999998	1.117
190.0	1.355	1.126
195.0	1.275	1.1340000000000001
200.0	1.2009999999999998	1.1420000000000001
205.0	1.1320000000000001	1.15
210.0	1.068	1.157
215.0	1.008	1.1640000000000001
220.0	0.9529	1.17
225.0	0.9012	1.175
230.0	0.853	1.181
235.0	0.8079999999999999	1.186
240.0	0.7659	1.19
245.0	0.7266	1.195
250.0	0.6898	1.199
255.0	0.6553	1.202
260.0	0.623	1.206
265.0	0.5926	1.209
270.0	0.564	1.212
275.0	0.5372	1.215
280.0	0.5119	1.217
285.0	0.4881	1.219
290.0	0.4656	1.2209999999999999
295.0	0.4444	1.2229999999999999
300.0	0.4244	1.225
305.0	0.4055	1.226
310.0	0.3877	1.228
320.0	0.3549	1.23
340.0	0.2991	1.2329999999999999
360.0	0.254	1.234
380.0	0.2172	1.2329999999999999
400.0	0.1869	1.2309999999999999
420.0	0.1617	1.228
440.0	0.1406	1.224
460.0	0.1229	1.22
480.0	0.1079	1.214
500.0	0.09512000000000001	1.209
520.0	0.0842	1.202
540.0	0.07482	1.195
560.0	0.06671	1.188
580.0	0.05968	1.181
600.0	0.05355	1.173
620.0	0.04819	1.166
640.0	0.04349	1.158
660.0	0.03935	1.15
680.0	0.03569	1.1420000000000001
700.0	0.03246	1.1340000000000001
720.0	0.029580000000000002	1.126
740.0	0.027010000000000003	1.117
760.0	0.02472	1.109
780.0	0.02267	1.101
800.0	0.020819999999999998	1.093
850.0	0.01696	1.073
900.0	0.01396	1.054
950.0	0.011590000000000001	1.035
1000.0	0.009706999999999999	1.016
1041.0	0.008438	1.001
1050.0	0.008187999999999999	0.9982
1100.0	0.006954000000000001	0.9807
1150.0	0.005944	0.9639
1200.0	0.00511	0.9476
1250.0	0.004417	0.9318
1253.6	0.004372	0.9307
1300.0	0.0038380000000000003	0.9167
1350.0	0.0033490000000000004	0.9022
1400.0	0.002935	0.8881
1450.0	0.002583	0.8746
1486.6	0.002358	0.8649
1500.0	0.002282	0.8615
