Energy [eV]	Cross Section	Asymmetry Parameter
70.0	0.9608	1.041
75.0	0.7362	0.6464
80.0	0.6166	-0.046669999999999996
85.0	0.5867	-0.4843
90.0	0.6085	-0.5658
95.0	0.6539	-0.4426
100.0	0.7074	-0.2485
105.0	0.7609999999999999	-0.04759
110.0	0.8109999999999999	0.1373
115.0	0.8557	0.3004
120.0	0.8942	0.4424
125.0	0.9263	0.5654
130.0	0.9520000000000001	0.6722
132.3	0.9614	0.7163
135.0	0.9713	0.765
140.0	0.9848	0.8459
145.0	0.993	0.9167
150.0	0.9964	0.9790000000000001
151.4	0.9964	0.9949
155.0	0.9959	1.034
160.0	0.992	1.082
165.0	0.9853	1.125
170.0	0.9764	1.1640000000000001
175.0	0.9658	1.198
180.0	0.9537	1.229
185.0	0.9407	1.258
190.0	0.9267	1.2830000000000001
195.0	0.9121	1.306
200.0	0.8969	1.328
205.0	0.8815	1.347
210.0	0.8657	1.365
215.0	0.8496	1.382
220.0	0.8334	1.3969999999999998
225.0	0.8170000000000001	1.412
230.0	0.8006	1.425
235.0	0.7842	1.4369999999999998
240.0	0.7679	1.449
245.0	0.7516	1.46
250.0	0.7355	1.47
255.0	0.7196	1.48
260.0	0.7040000000000001	1.4880000000000002
265.0	0.6886	1.4969999999999999
270.0	0.6734	1.505
275.0	0.6586	1.5119999999999998
280.0	0.6441	1.5190000000000001
285.0	0.63	1.525
290.0	0.6161	1.531
295.0	0.6026	1.537
300.0	0.5894	1.5419999999999998
305.0	0.5765	1.547
310.0	0.564	1.5519999999999998
315.0	0.5518	1.556
320.0	0.5398	1.561
325.0	0.5282	1.565
330.0	0.5168	1.568
335.0	0.5057	1.5719999999999998
340.0	0.4949	1.575
345.0	0.4843	1.578
350.0	0.474	1.581
355.0	0.46399999999999997	1.584
360.0	0.4542	1.587
365.0	0.4446	1.589
380.0	0.4172	1.5959999999999999
400.0	0.3839	1.6030000000000002
420.0	0.3538	1.609
440.0	0.3267	1.6130000000000002
460.0	0.3022	1.6159999999999999
480.0	0.28	1.618
500.0	0.2599	1.619
520.0	0.2415	1.62
540.0	0.2248	1.62
560.0	0.2095	1.619
580.0	0.1956	1.618
600.0	0.1828	1.617
620.0	0.1711	1.615
640.0	0.1604	1.6130000000000002
660.0	0.1506	1.611
680.0	0.1415	1.608
700.0	0.1331	1.6059999999999999
720.0	0.1253	1.6030000000000002
740.0	0.1182	1.6
760.0	0.1115	1.597
780.0	0.1054	1.5930000000000002
800.0	0.09965	1.59
850.0	0.08703999999999999	1.581
900.0	0.07644	1.5719999999999998
950.0	0.06747	1.5619999999999998
1000.0	0.059829999999999994	1.5530000000000002
1041.0	0.0544	1.545
1050.0	0.05329	1.5430000000000001
1100.0	0.04766	1.5330000000000001
1150.0	0.042789999999999995	1.5230000000000001
1200.0	0.03854	1.5130000000000001
1250.0	0.034839999999999996	1.5030000000000001
1253.6	0.034589999999999996	1.5019999999999998
1300.0	0.03159	1.493
1350.0	0.02872	1.483
1400.0	0.026189999999999998	1.473
1450.0	0.02394	1.463
1486.6	0.02246	1.456
1500.0	0.02194	1.453
