Energy [eV]	Cross Section	Asymmetry Parameter
10.2	0.03166	2
15.0	0.07205	2
16.7	0.1058	2
20.0	0.146	2
21.2	0.1542	2
25.0	0.1664	2
26.8	0.1675	2
30.0	0.1655	2
35.0	0.1572	2
40.0	0.1467	2
40.8	0.1449	2
45.0	0.1358	2
50.0	0.1253	2
55.0	0.1155	2
60.0	0.1065	2
65.0	0.09815	2
70.0	0.09057	2
75.0	0.08367999999999999	2
80.0	0.07745	2
85.0	0.07182000000000001	2
90.0	0.06673	2
95.0	0.06215	2
100.0	0.05801	2
105.0	0.054270000000000006	2
110.0	0.05089	2
115.0	0.04782	2
120.0	0.04503	2
125.0	0.0425	2
130.0	0.04018	2
132.3	0.03918	2
135.0	0.038060000000000004	2
140.0	0.03611	2
145.0	0.034319999999999996	2
150.0	0.03266	2
151.4	0.03222	2
155.0	0.03113	2
160.0	0.029710000000000004	2
165.0	0.0284	2
170.0	0.027180000000000003	2
175.0	0.026039999999999997	2
180.0	0.02497	2
185.0	0.02398	2
190.0	0.02305	2
195.0	0.022180000000000002	2
200.0	0.02136	2
205.0	0.0206	2
210.0	0.01987	2
215.0	0.019190000000000002	2
220.0	0.01855	2
225.0	0.01794	2
230.0	0.01737	2
235.0	0.01683	2
240.0	0.016309999999999998	2
245.0	0.015819999999999997	2
250.0	0.01535	2
255.0	0.0149	2
260.0	0.014480000000000002	2
265.0	0.01407	2
270.0	0.013680000000000001	2
275.0	0.0133	2
280.0	0.01294	2
285.0	0.0126	2
290.0	0.01227	2
295.0	0.01195	2
300.0	0.011640000000000001	2
305.0	0.011340000000000001	2
320.0	0.01052	2
340.0	0.009545999999999999	2
360.0	0.0087	2
380.0	0.007959	2
400.0	0.007309	2
420.0	0.006736	2
440.0	0.006227	2
460.0	0.005775	2
480.0	0.005371	2
500.0	0.0050100000000000006	2
520.0	0.004684000000000001	2
540.0	0.004391	2
560.0	0.004125	2
580.0	0.0038829999999999997	2
600.0	0.003662	2
620.0	0.0034590000000000003	2
640.0	0.003273	2
660.0	0.0031	2
680.0	0.002941	2
700.0	0.002793	2
720.0	0.0026550000000000002	2
740.0	0.002527	2
760.0	0.002408	2
780.0	0.002297	2
800.0	0.002193	2
850.0	0.001961	2
900.0	0.0017640000000000002	2
950.0	0.001596	2
1000.0	0.00145	2
1041.0	0.0013449999999999998	2
1050.0	0.001324	2
1100.0	0.001212	2
1150.0	0.001114	2
1200.0	0.001027	2
1250.0	0.0009488999999999999	2
1253.6	0.0009437000000000001	2
1300.0	0.0008794	2
1350.0	0.000817	2
1400.0	0.0007607	2
1450.0	0.0007099999999999999	2
1486.6	0.0006758999999999999	2
1500.0	0.0006642	2
