Energy [eV]	Cross Section	Asymmetry Parameter
1040.0	0.07555	1.204
1045.0	0.1952	1.933
1050.0	0.3752	1.348
1055.0	0.4727	0.8598
1060.0	0.5246	0.5529999999999999
1065.0	0.5607	0.3516
1070.0	0.585	0.2128
1075.0	0.5987	0.1144
1080.0	0.6048	0.04396
1085.0	0.6069	-0.006097999999999999
1090.0	0.6075	-0.0411
1095.0	0.6081	-0.06483
1100.0	0.609	-0.08012000000000001
1105.0	0.6099	-0.08906
1110.0	0.6106	-0.09319
1115.0	0.6108	-0.09362000000000001
1120.0	0.6103	-0.09112999999999999
1125.0	0.6093	-0.08628999999999999
1130.0	0.6079	-0.07951
1135.0	0.6063	-0.0711
1140.0	0.6047	-0.06134
1145.0	0.6031	-0.05044
1150.0	0.6017	-0.03863
1155.0	0.6003	-0.02611
1160.0	0.5989	-0.01305
1165.0	0.5976	0.0003872
1170.0	0.5961	0.01408
1175.0	0.5945	0.02793
1180.0	0.5928	0.04186
1185.0	0.591	0.05584
1190.0	0.5891	0.06982000000000001
1195.0	0.5872	0.08381
1200.0	0.5852	0.09779
1205.0	0.5832	0.1117
1210.0	0.5813	0.1257
1215.0	0.5794	0.1396
1220.0	0.5776	0.1535
1225.0	0.5758	0.1673
1230.0	0.574	0.18100000000000002
1235.0	0.5722	0.1946
1240.0	0.5703	0.20800000000000002
1245.0	0.5685	0.2213
1250.0	0.5666	0.2344
1253.6	0.5653	0.2438
1255.0	0.5647	0.2474
1260.0	0.5628	0.2601
1265.0	0.5608	0.2727
1270.0	0.5589	0.285
1275.0	0.5569	0.2972
1280.0	0.5549	0.3092
1285.0	0.5529	0.3211
1290.0	0.5509	0.3328
1295.0	0.5489999999999999	0.3443
1300.0	0.5471	0.3558
1305.0	0.5452	0.36700000000000005
1310.0	0.5433	0.3781
1315.0	0.5414	0.3891
1320.0	0.5395	0.4
1325.0	0.5376	0.4107
1330.0	0.5357	0.4212
1335.0	0.5337	0.4316
1350.0	0.5279	0.4619
1400.0	0.5085	0.5531
1450.0	0.4896	0.6326
1486.6	0.4759	0.6841
1500.0	0.4709	0.7017
