Energy [eV]	Cross Section	Asymmetry Parameter
75.0	102.0	0.475
76.0	47.72	0.2966
77.0	30.79	0.1828
78.0	24.67	0.1417
79.0	21.89	0.1462
80.0	20.35	0.1766
85.0	16.54	0.4536
90.0	13.1	0.746
95.0	9.96	0.9982
100.0	7.5520000000000005	1.209
105.0	5.818	1.3840000000000001
110.0	4.565	1.5319999999999998
115.0	3.635	1.6569999999999998
120.0	2.924	1.761
125.0	2.369	1.847
130.0	1.931	1.9140000000000001
132.3	1.761	1.9369999999999998
135.0	1.5830000000000002	1.959
140.0	1.306	1.983
145.0	1.0859999999999999	1.984
150.0	0.91	1.959
151.4	0.8675	1.9480000000000002
155.0	0.7694	1.909
160.0	0.6567	1.831
165.0	0.5662	1.726
170.0	0.4934	1.594
175.0	0.4349	1.4380000000000002
180.0	0.3878	1.262
185.0	0.35	1.07
190.0	0.3198	0.8695
195.0	0.2958	0.6671
200.0	0.2767	0.4696
205.0	0.2617	0.28300000000000003
210.0	0.25	0.1119
215.0	0.24100000000000002	-0.04028
220.0	0.2342	-0.1716
225.0	0.2292	-0.2816
230.0	0.2257	-0.3706
235.0	0.2234	-0.4398
240.0	0.2221	-0.491
245.0	0.2215	-0.5262
250.0	0.2216	-0.5474
255.0	0.2221	-0.5567
260.0	0.223	-0.5561
265.0	0.2242	-0.5474
270.0	0.2255	-0.532
275.0	0.22699999999999998	-0.5115
280.0	0.2286	-0.4869
285.0	0.2302	-0.4591
290.0	0.2317	-0.4289
295.0	0.2333	-0.397
300.0	0.2348	-0.3639
305.0	0.2363	-0.3299
310.0	0.2376	-0.2955
315.0	0.2389	-0.2609
320.0	0.2402	-0.2263
325.0	0.2413	-0.1919
330.0	0.2423	-0.1579
335.0	0.2432	-0.1244
340.0	0.2441	-0.09135
345.0	0.2448	-0.05899
350.0	0.2454	-0.02731
355.0	0.2459	0.003629
360.0	0.2463	0.03381
365.0	0.2466	0.06322
370.0	0.2468	0.09183999999999999
380.0	0.2469	0.1468
400.0	0.2462	0.2478
420.0	0.2443	0.3382
440.0	0.2416	0.4192
460.0	0.23800000000000002	0.4919
480.0	0.2339	0.5573
500.0	0.2293	0.6161
520.0	0.2243	0.6692
540.0	0.2192	0.7176
560.0	0.2139	0.7617
580.0	0.2086	0.8021
600.0	0.2031	0.8391
620.0	0.1977	0.8731
640.0	0.1924	0.9043
660.0	0.1871	0.9332
680.0	0.1819	0.96
700.0	0.1768	0.9849
720.0	0.1718	1.008
740.0	0.1669	1.03
760.0	0.1621	1.05
780.0	0.1575	1.068
800.0	0.153	1.0859999999999999
850.0	0.1424	1.125
900.0	0.1326	1.159
950.0	0.1236	1.188
1000.0	0.1153	1.213
1041.0	0.109	1.2309999999999999
1050.0	0.1077	1.234
1100.0	0.1007	1.253
1150.0	0.09425	1.27
1200.0	0.08835	1.285
1250.0	0.0829	1.297
1253.6	0.08252000000000001	1.298
1300.0	0.07789	1.3090000000000002
1350.0	0.07327	1.319
1400.0	0.06899	1.327
1450.0	0.06504	1.335
1486.6	0.06234	1.34
1500.0	0.06139	1.3419999999999999
