Energy [eV]	Cross Section	Asymmetry Parameter
150.0	0.3438	-0.5095
151.4	0.33799999999999997	-0.5333
155.0	0.3251	-0.5801
160.0	0.3126	-0.6108
165.0	0.3056	-0.5995
170.0	0.3022	-0.555
175.0	0.3006	-0.4909
180.0	0.2998	-0.4188
185.0	0.2991	-0.3454
190.0	0.2984	-0.2734
195.0	0.2975	-0.2034
200.0	0.2966	-0.1351
205.0	0.2955	-0.06815
210.0	0.2944	-0.002494
215.0	0.2933	0.061560000000000004
220.0	0.292	0.1236
225.0	0.2907	0.183
230.0	0.2893	0.2396
235.0	0.2877	0.293
240.0	0.2861	0.3433
245.0	0.2843	0.3905
250.0	0.2824	0.4349
255.0	0.2805	0.4768
260.0	0.2785	0.5164
265.0	0.2764	0.5539999999999999
270.0	0.2742	0.5898
275.0	0.272	0.6241
280.0	0.2697	0.6568
285.0	0.2674	0.6882
290.0	0.265	0.7183
295.0	0.2626	0.747
300.0	0.2601	0.7745
305.0	0.2576	0.8007
310.0	0.2551	0.8258
315.0	0.2526	0.8497
320.0	0.25	0.8724
325.0	0.2474	0.8942
330.0	0.2449	0.9149
335.0	0.2423	0.9348
340.0	0.2398	0.9538
345.0	0.2372	0.972
350.0	0.2347	0.9896
355.0	0.2322	1.0070000000000001
360.0	0.2297	1.023
365.0	0.2272	1.0390000000000001
370.0	0.2248	1.054
375.0	0.2223	1.069
380.0	0.2199	1.083
385.0	0.2175	1.097
390.0	0.2151	1.11
395.0	0.2127	1.123
400.0	0.2103	1.135
405.0	0.20800000000000002	1.147
410.0	0.2056	1.159
415.0	0.2033	1.17
420.0	0.2011	1.181
425.0	0.1988	1.192
430.0	0.1966	1.202
435.0	0.1944	1.212
440.0	0.1923	1.2209999999999999
460.0	0.184	1.2570000000000001
480.0	0.1761	1.2890000000000001
500.0	0.1686	1.318
520.0	0.1614	1.344
540.0	0.1547	1.368
560.0	0.1484	1.39
580.0	0.1424	1.409
600.0	0.1367	1.4269999999999998
620.0	0.1314	1.444
640.0	0.1263	1.46
660.0	0.1215	1.474
680.0	0.11699999999999999	1.4869999999999999
700.0	0.1127	1.5
720.0	0.1086	1.511
740.0	0.1048	1.5219999999999998
760.0	0.1011	1.5319999999999998
780.0	0.09761	1.541
800.0	0.0943	1.55
850.0	0.08672	1.57
900.0	0.08002999999999999	1.587
950.0	0.07406	1.6019999999999999
1000.0	0.06873	1.615
1041.0	0.06479	1.624
1050.0	0.06397	1.626
1100.0	0.05968	1.636
1150.0	0.055810000000000005	1.645
1200.0	0.0523	1.653
1250.0	0.04912	1.66
1253.6	0.0489	1.66
1300.0	0.04622	1.666
1350.0	0.04356	1.671
1400.0	0.04113	1.676
1450.0	0.0389	1.68
1486.6	0.037380000000000004	1.683
1500.0	0.03684	1.6840000000000002
