Energy [eV]	Cross Section	Asymmetry Parameter
165.0	0.6592	-0.5849
170.0	0.7725	-0.8749
175.0	0.8217	-0.3396
180.0	0.7475	0.2561
185.0	0.6491	0.6491
190.0	0.5593	0.8495
195.0	0.4852	0.8717
200.0	0.4292	0.7344
205.0	0.3908	0.4782
210.0	0.3677	0.1604
215.0	0.3572	-0.1624
220.0	0.3568	-0.4478
225.0	0.3643	-0.6728
230.0	0.3779	-0.8314
235.0	0.396	-0.9286
240.0	0.4173	-0.9753
245.0	0.4405	-0.9833
250.0	0.4649	-0.9636
255.0	0.4899	-0.9246
260.0	0.5149	-0.873
265.0	0.5398	-0.8135
270.0	0.5643	-0.7493
275.0	0.5883	-0.6829
280.0	0.6115	-0.6159
285.0	0.6338	-0.5495
290.0	0.6551	-0.4845
295.0	0.6752	-0.4214
300.0	0.6941	-0.3607
305.0	0.7117	-0.3025
310.0	0.7281	-0.2468
315.0	0.7432	-0.1936
320.0	0.7571	-0.1428
325.0	0.7698	-0.09439
330.0	0.7815	-0.048139999999999995
335.0	0.7922	-0.0039299999999999995
340.0	0.8019	0.03834
345.0	0.8107	0.07877999999999999
350.0	0.8186	0.1175
355.0	0.8255	0.1545
360.0	0.8317	0.19
365.0	0.8370000000000001	0.22399999999999998
370.0	0.8414	0.2565
375.0	0.8451	0.2876
380.0	0.8481	0.3174
385.0	0.8504	0.34600000000000003
390.0	0.852	0.3734
395.0	0.8531	0.3997
400.0	0.8536	0.4249
405.0	0.8536	0.4492
410.0	0.8531	0.4725
415.0	0.8522	0.495
420.0	0.8509	0.5166
425.0	0.8493	0.5375
430.0	0.8472	0.5577
435.0	0.8449	0.5772
440.0	0.8422	0.5961
445.0	0.8391	0.6143
450.0	0.8358	0.6319
455.0	0.8323	0.649
460.0	0.8284	0.6655
480.0	0.8109	0.7264
500.0	0.7907	0.78
520.0	0.7689	0.8276
540.0	0.7459	0.8702
560.0	0.7223	0.9085
580.0	0.6982	0.9431
600.0	0.6741	0.9744
620.0	0.6503	1.003
640.0	0.6269	1.028
660.0	0.604	1.052
680.0	0.5817	1.074
700.0	0.56	1.093
720.0	0.539	1.112
740.0	0.5187	1.128
760.0	0.4992	1.1440000000000001
780.0	0.4805	1.158
800.0	0.4624	1.171
850.0	0.4204	1.2
900.0	0.3826	1.224
950.0	0.3488	1.244
1000.0	0.3183	1.261
1041.0	0.2957	1.272
1050.0	0.29100000000000004	1.275
1100.0	0.2665	1.286
1150.0	0.2445	1.296
1200.0	0.2247	1.304
1250.0	0.2068	1.31
1253.6	0.2056	1.31
1300.0	0.1907	1.315
1350.0	0.1761	1.319
1400.0	0.1629	1.3230000000000002
1450.0	0.1509	1.325
1486.6	0.1428	1.3259999999999998
1500.0	0.14	1.3259999999999998
