Energy [eV]	Cross Section	Asymmetry Parameter
25.0	0.5593	0.8390000000000001
26.86	0.5624	1.176
30.0	0.6068	1.641
35.0	0.8126	1.806
40.0	1.1909999999999998	1.5230000000000001
40.81	1.265	1.4669999999999999
45.0	1.6769999999999998	1.192
50.0	2.194	0.9378
55.0	2.7089999999999996	0.7589
60.0	3.2060000000000004	0.6333
65.0	3.6710000000000003	0.5437
70.0	4.084	0.4787
75.0	4.427	0.4312
80.0	4.6930000000000005	0.3966
85.0	4.888	0.3719
90.0	5.026	0.3548
95.0	5.12	0.3437
100.0	5.18	0.3372
105.0	5.212999999999999	0.3343
110.0	5.222	0.3342
115.0	5.207000000000001	0.3364
120.0	5.172000000000001	0.3403
125.0	5.119	0.3457
130.0	5.05	0.3522
132.3	5.015	0.3556
135.0	4.97	0.3597
140.0	4.882	0.368
145.0	4.787	0.3769
150.0	4.689	0.3864
151.4	4.6610000000000005	0.3892
155.0	4.587	0.3963
160.0	4.4830000000000005	0.4066
165.0	4.377	0.41700000000000004
170.0	4.27	0.4276
175.0	4.1610000000000005	0.4384
180.0	4.051	0.4491
185.0	3.9410000000000003	0.4599
190.0	3.8310000000000004	0.4707
195.0	3.7230000000000003	0.4814
200.0	3.615	0.4921
205.0	3.51	0.5028
210.0	3.407	0.5133
215.0	3.306	0.5238
220.0	3.208	0.5343
225.0	3.112	0.5446
230.0	3.0180000000000002	0.5548
235.0	2.926	0.5649
240.0	2.8369999999999997	0.5749
245.0	2.75	0.5847
250.0	2.6660000000000004	0.5944
255.0	2.583	0.604
260.0	2.503	0.6134
265.0	2.426	0.6226
270.0	2.35	0.6317
275.0	2.2769999999999997	0.6406
280.0	2.207	0.6494
285.0	2.138	0.6579999999999999
290.0	2.072	0.6665
295.0	2.008	0.6748
300.0	1.9469999999999998	0.6829999999999999
305.0	1.8869999999999998	0.691
310.0	1.829	0.6989
315.0	1.7730000000000001	0.7067
320.0	1.719	0.7144
340.0	1.521	0.7435
360.0	1.347	0.7706
380.0	1.196	0.7956
400.0	1.065	0.8188
420.0	0.95	0.8402
440.0	0.8495	0.86
460.0	0.7615	0.8783
480.0	0.6842	0.8952
500.0	0.6164	0.9108
520.0	0.5566	0.9251
540.0	0.5037	0.9384
560.0	0.4568	0.9506
580.0	0.4151	0.9619
600.0	0.37799999999999995	0.9723
620.0	0.345	0.9818
640.0	0.3154	0.9906
660.0	0.2889	0.9986
680.0	0.2651	1.006
700.0	0.2437	1.013
720.0	0.2244	1.0190000000000001
740.0	0.2069	1.024
760.0	0.1911	1.03
780.0	0.1767	1.034
800.0	0.1637	1.038
850.0	0.1359	1.047
900.0	0.1138	1.053
950.0	0.09595	1.058
1000.0	0.08144	1.061
1041.0	0.07152	1.063
1050.0	0.06955	1.063
1100.0	0.059739999999999994	1.063
1150.0	0.05159	1.063
1200.0	0.04476	1.061
1250.0	0.03903	1.0590000000000002
1253.6	0.03865	1.0590000000000002
1300.0	0.03417	1.057
1350.0	0.030039999999999997	1.053
1400.0	0.026510000000000002	1.05
1450.0	0.02348	1.046
1486.6	0.02153	1.043
1500.0	0.02086	1.041
