Energy [eV]	Cross Section	Asymmetry Parameter
280.0	0.4199	-0.8321
300.0	0.435	-0.3491
320.0	0.4305	0.05152999999999999
340.0	0.4247	0.3446
360.0	0.4161	0.5499
380.0	0.40700000000000003	0.7096
400.0	0.3963	0.8372
420.0	0.3849	0.9383
440.0	0.3735	1.022
460.0	0.3618	1.092
480.0	0.3499	1.153
500.0	0.3382	1.204
520.0	0.3268	1.248
540.0	0.3156	1.287
560.0	0.3047	1.3219999999999998
580.0	0.2941	1.3519999999999999
600.0	0.284	1.379
620.0	0.2742	1.403
640.0	0.2648	1.425
660.0	0.2557	1.445
680.0	0.247	1.463
700.0	0.2387	1.48
720.0	0.2307	1.495
740.0	0.2231	1.508
760.0	0.2158	1.521
780.0	0.2088	1.5330000000000001
800.0	0.20199999999999999	1.5430000000000001
850.0	0.1864	1.567
900.0	0.1725	1.5859999999999999
950.0	0.1598	1.6019999999999999
1000.0	0.1485	1.6159999999999999
1041.0	0.14	1.625
1050.0	0.1382	1.6269999999999998
1100.0	0.1289	1.6369999999999998
1150.0	0.1204	1.645
1200.0	0.1127	1.652
1250.0	0.1057	1.6580000000000001
1253.6	0.1052	1.659
1300.0	0.09925	1.663
1350.0	0.09336	1.6680000000000001
1400.0	0.08794	1.671
1450.0	0.08294	1.6740000000000002
1486.6	0.07954	1.676
1500.0	0.07835	1.6769999999999998
