Energy [eV]	Cross Section	Asymmetry Parameter
130.0	0.4002	-0.5453
132.3	0.415	-0.7674
135.0	0.4324	-0.9034
140.0	0.4616	-0.9266
145.0	0.4884	-0.8214
150.0	0.5147	-0.6727
151.4	0.5221	-0.6279
155.0	0.5414	-0.5099
160.0	0.5686	-0.3456
165.0	0.5956	-0.1865
170.0	0.6215	-0.03683
175.0	0.6456	0.10099999999999999
180.0	0.6672	0.2261
185.0	0.6859999999999999	0.3383
190.0	0.7019	0.4384
195.0	0.715	0.5275
200.0	0.7256	0.6068
205.0	0.7340000000000001	0.6775
210.0	0.7406	0.7408
215.0	0.7455	0.7977
220.0	0.7490000000000001	0.8492
225.0	0.7513	0.8959999999999999
230.0	0.7524	0.9389
235.0	0.7525	0.9782
240.0	0.7516	1.015
245.0	0.7497	1.048
250.0	0.747	1.079
255.0	0.7434	1.1079999999999999
260.0	0.7390000000000001	1.136
265.0	0.7340000000000001	1.161
270.0	0.7283	1.1840000000000002
275.0	0.722	1.206
280.0	0.7153	1.227
285.0	0.7082	1.246
290.0	0.7008	1.264
295.0	0.6931	1.281
300.0	0.6853	1.297
305.0	0.6773	1.3119999999999998
310.0	0.6692	1.3259999999999998
315.0	0.6611	1.339
320.0	0.6529	1.3519999999999999
325.0	0.6447	1.364
330.0	0.6365	1.375
335.0	0.6283	1.385
340.0	0.6201	1.395
345.0	0.6119	1.405
350.0	0.6037	1.4140000000000001
355.0	0.5956	1.422
360.0	0.5875	1.43
365.0	0.5794	1.4380000000000002
370.0	0.5713	1.446
375.0	0.5633	1.453
380.0	0.5554	1.46
385.0	0.5475	1.466
390.0	0.5397	1.473
395.0	0.5319	1.479
400.0	0.5242	1.484
405.0	0.5167	1.49
410.0	0.5092	1.495
415.0	0.5018	1.5
420.0	0.4945	1.505
440.0	0.4664	1.5219999999999998
460.0	0.4401	1.537
480.0	0.4155	1.5490000000000002
500.0	0.3925	1.56
520.0	0.3708	1.569
540.0	0.3505	1.5759999999999998
560.0	0.3315	1.5830000000000002
580.0	0.3137	1.589
600.0	0.2971	1.5930000000000002
620.0	0.2817	1.597
640.0	0.2672	1.601
660.0	0.2537	1.6030000000000002
680.0	0.24100000000000002	1.6059999999999999
700.0	0.2291	1.607
720.0	0.218	1.609
740.0	0.2075	1.61
760.0	0.1977	1.61
780.0	0.1884	1.611
800.0	0.1798	1.611
850.0	0.1603	1.61
900.0	0.1434	1.608
950.0	0.1288	1.605
1000.0	0.1161	1.6019999999999999
1041.0	0.1069	1.598
1050.0	0.105	1.598
1100.0	0.09519	1.5930000000000002
1150.0	0.08657999999999999	1.588
1200.0	0.07896	1.5830000000000002
1250.0	0.07219	1.577
1253.6	0.07174	1.5759999999999998
1300.0	0.06617	1.571
1350.0	0.0608	1.565
1400.0	0.055979999999999995	1.5590000000000002
1450.0	0.05164	1.5530000000000002
1486.6	0.04874	1.548
1500.0	0.04774	1.546
