Energy [eV]	Cross Section	Asymmetry Parameter
225.0	0.4412	-0.1948
230.0	0.4337	-0.5992
235.0	0.4461	-0.6329
240.0	0.4366	-0.2591
245.0	0.4092	0.1179
250.0	0.3784	0.3686
255.0	0.3495	0.4871
260.0	0.3247	0.4841
265.0	0.3053	0.3786
270.0	0.2917	0.1999
275.0	0.2837	-0.01747
280.0	0.2807	-0.2421
285.0	0.2822	-0.4508
290.0	0.2873	-0.6292
295.0	0.2956	-0.7709999999999999
300.0	0.3065	-0.8752
305.0	0.3194	-0.9447
310.0	0.3337	-0.9840000000000001
315.0	0.3491	-0.9987
320.0	0.3651	-0.9938
325.0	0.3815	-0.9741
330.0	0.3981	-0.9432
335.0	0.4146	-0.9043
340.0	0.4311	-0.8597
345.0	0.4474	-0.8113
350.0	0.4634	-0.7604
355.0	0.4792	-0.7081
360.0	0.4947	-0.6553
365.0	0.5097	-0.6025
370.0	0.5242	-0.5503
375.0	0.5381	-0.4991
380.0	0.5515	-0.449
385.0	0.5642	-0.4004
390.0	0.5763	-0.3532
395.0	0.5877	-0.3076
400.0	0.5984	-0.2636
405.0	0.6085	-0.2211
410.0	0.618	-0.1801
415.0	0.6269	-0.1406
420.0	0.6353	-0.1024
425.0	0.6431	-0.06561
430.0	0.6504	-0.030060000000000003
435.0	0.6572	0.004268999999999999
440.0	0.6635	0.03743
445.0	0.6694	0.06947
450.0	0.6748	0.1004
455.0	0.6797	0.1303
460.0	0.6841	0.1592
465.0	0.6882	0.1871
470.0	0.6917	0.214
475.0	0.6949	0.24
480.0	0.6977	0.2651
485.0	0.7	0.2894
490.0	0.7020000000000001	0.3128
495.0	0.7037	0.3355
500.0	0.705	0.3574
505.0	0.7061	0.3786
510.0	0.7068	0.3991
515.0	0.7073	0.419
520.0	0.7075	0.4383
540.0	0.7062	0.51
560.0	0.7017	0.5741
580.0	0.6944	0.6317
600.0	0.6848	0.6833
620.0	0.6735	0.7299
640.0	0.6609999999999999	0.772
660.0	0.6475	0.8104
680.0	0.6334	0.8455
700.0	0.6187	0.8777
720.0	0.6037	0.9074
740.0	0.5884	0.9347
760.0	0.573	0.9598
780.0	0.5578	0.9831
800.0	0.5427	1.005
850.0	0.5058	1.052
900.0	0.4705	1.092
950.0	0.4374	1.126
1000.0	0.4066	1.155
1041.0	0.3829	1.175
1050.0	0.3779	1.18
1100.0	0.3514	1.2009999999999998
1150.0	0.327	1.219
1200.0	0.3044	1.235
1250.0	0.2837	1.249
1253.6	0.2823	1.25
1300.0	0.2647	1.261
1350.0	0.2471	1.271
1400.0	0.2309	1.28
1450.0	0.2161	1.288
1486.6	0.2059	1.2930000000000001
1500.0	0.2023	1.295
