Energy [eV]	Cross Section	Asymmetry Parameter
380.0	0.377	-0.6105
400.0	0.3699	-0.2029
420.0	0.3662	0.1112
440.0	0.3615	0.35200000000000004
460.0	0.3551	0.5279
480.0	0.349	0.6675
500.0	0.3421	0.7836
520.0	0.3344	0.8789
540.0	0.3266	0.9574
560.0	0.3189	1.024
580.0	0.3111	1.083
600.0	0.303	1.1340000000000001
620.0	0.295	1.179
640.0	0.2871	1.218
660.0	0.2795	1.253
680.0	0.2719	1.284
700.0	0.2645	1.3119999999999998
720.0	0.2572	1.338
740.0	0.2501	1.361
760.0	0.2433	1.383
780.0	0.2367	1.402
800.0	0.2302	1.419
850.0	0.215	1.4580000000000002
900.0	0.2009	1.49
950.0	0.188	1.516
1000.0	0.1761	1.5390000000000001
1041.0	0.1671	1.555
1050.0	0.1652	1.558
1100.0	0.1552	1.574
1150.0	0.146	1.588
1200.0	0.1376	1.601
1250.0	0.1298	1.611
1253.6	0.1292	1.6119999999999999
1300.0	0.1226	1.62
1350.0	0.1159	1.629
1400.0	0.1097	1.636
1450.0	0.10400000000000001	1.642
1486.6	0.1001	1.646
1500.0	0.09869	1.6469999999999998
