Energy [eV]	Cross Section	Asymmetry Parameter
80.0	0.2938	2
100.0	0.2669	2
120.0	0.2282	2
132.3	0.2068	2
140.0	0.1949	2
151.4	0.1789	2
160.0	0.1679	2
180.0	0.1454	2
200.0	0.1267	2
220.0	0.1116	2
240.0	0.09905	2
260.0	0.08849	2
280.0	0.0795	2
300.0	0.07185	2
320.0	0.06532	2
340.0	0.05968	2
360.0	0.05475	2
380.0	0.05042	2
400.0	0.04659	2
420.0	0.043210000000000005	2
440.0	0.0402	2
460.0	0.03751	2
480.0	0.0351	2
500.0	0.03291	2
520.0	0.030930000000000003	2
540.0	0.02913	2
560.0	0.027489999999999997	2
580.0	0.02599	2
600.0	0.02462	2
620.0	0.02336	2
640.0	0.02219	2
660.0	0.02112	2
680.0	0.02012	2
700.0	0.019190000000000002	2
720.0	0.018330000000000003	2
740.0	0.01753	2
760.0	0.01679	2
780.0	0.01609	2
800.0	0.015430000000000001	2
850.0	0.01396	2
900.0	0.0127	2
950.0	0.011609999999999999	2
1000.0	0.01066	2
1041.0	0.009962	2
1050.0	0.009819	2
1100.0	0.009078	2
1150.0	0.008421	2
1200.0	0.007833	2
1250.0	0.007306999999999999	2
1253.6	0.007271	2
1300.0	0.006833	2
1350.0	0.006403	2
1400.0	0.0060149999999999995	2
1450.0	0.005661	2
1486.6	0.00542	2
1500.0	0.005336	2
