Energy [eV]	Cross Section	Asymmetry Parameter
560.0	0.2675	-0.5884
580.0	0.3373	-0.1294
600.0	0.3313	0.1668
620.0	0.3262	0.3752
640.0	0.3208	0.541
660.0	0.3138	0.6713
680.0	0.3066	0.7739
700.0	0.3	0.8583
720.0	0.2936	0.9307
740.0	0.2872	0.9940000000000001
760.0	0.2806	1.0490000000000002
780.0	0.2741	1.097
800.0	0.2677	1.14
850.0	0.2526	1.226
900.0	0.2382	1.295
950.0	0.2246	1.349
1000.0	0.212	1.393
1041.0	0.2022	1.4240000000000002
1050.0	0.2001	1.43
1100.0	0.1891	1.4609999999999999
1150.0	0.1788	1.4869999999999999
1200.0	0.1693	1.5090000000000001
1250.0	0.1603	1.5290000000000001
1253.6	0.1597	1.53
1300.0	0.1521	1.545
1350.0	0.1444	1.56
1400.0	0.1372	1.5730000000000002
1450.0	0.1305	1.585
1486.6	0.1258	1.5919999999999999
1500.0	0.1242	1.595
