Energy [eV]	Cross Section	Asymmetry Parameter
660.0	0.128	2
680.0	0.1153	2
700.0	0.1131	2
720.0	0.1098	2
740.0	0.1058	2
760.0	0.1022	2
780.0	0.09895	2
800.0	0.09589	2
850.0	0.08838	2
900.0	0.08173	2
950.0	0.07583	2
1000.0	0.07045	2
1041.0	0.06647	2
1050.0	0.06565	2
1100.0	0.061329999999999996	2
1150.0	0.057379999999999994	2
1200.0	0.05382000000000001	2
1250.0	0.05058	2
1253.6	0.05036	2
1300.0	0.047619999999999996	2
1350.0	0.0449	2
1400.0	0.04242	2
1450.0	0.040139999999999995	2
1486.6	0.03858	2
1500.0	0.03803	2
