Energy [eV]	Cross Section	Asymmetry Parameter
1385.0	0.04186	1.913
1390.0	0.2771	1.548
1395.0	0.643	1.21
1400.0	0.9577	0.9739
1405.0	1.1440000000000001	0.8204
1410.0	1.263	0.7148
1415.0	1.3430000000000002	0.6387
1420.0	1.39	0.5822
1425.0	1.412	0.5398
1430.0	1.4180000000000001	0.5078
1435.0	1.415	0.4838
1440.0	1.4080000000000001	0.4661
1445.0	1.401	0.4534
1450.0	1.395	0.4446
1455.0	1.3880000000000001	0.4389
1460.0	1.381	0.4355
1465.0	1.3719999999999999	0.4342
1470.0	1.3630000000000002	0.4344
1475.0	1.3530000000000002	0.436
1480.0	1.3419999999999999	0.4386
1485.0	1.331	0.4422
1486.6	1.327	0.4435
1490.0	1.319	0.4466
1495.0	1.308	0.4517
1500.0	1.298	0.4574
