Energy [eV]	Cross Section	Asymmetry Parameter
300.0	0.4112	-0.7266
320.0	0.4029	-0.456
340.0	0.39899999999999997	-0.05666
360.0	0.3962	0.2468
380.0	0.3902	0.4635
400.0	0.3836	0.6301
420.0	0.3756	0.7643
440.0	0.3667	0.8718
460.0	0.3575	0.9599
480.0	0.348	1.035
500.0	0.3382	1.0979999999999999
520.0	0.3283	1.153
540.0	0.3185	1.2
560.0	0.3088	1.242
580.0	0.2993	1.2790000000000001
600.0	0.29	1.311
620.0	0.2809	1.34
640.0	0.2721	1.3659999999999999
660.0	0.2636	1.39
680.0	0.2554	1.411
700.0	0.2474	1.431
720.0	0.2397	1.449
740.0	0.2323	1.465
760.0	0.2252	1.48
780.0	0.2183	1.493
800.0	0.2117	1.506
850.0	0.1963	1.5330000000000001
900.0	0.1824	1.556
950.0	0.1697	1.5759999999999998
1000.0	0.1582	1.5919999999999999
1041.0	0.1495	1.6030000000000002
1050.0	0.1477	1.6059999999999999
1100.0	0.1382	1.617
1150.0	0.1294	1.6269999999999998
1200.0	0.1215	1.636
1250.0	0.1142	1.6440000000000001
1253.6	0.1137	1.6440000000000001
1300.0	0.1075	1.65
1350.0	0.1013	1.656
1400.0	0.09562000000000001	1.66
1450.0	0.09037	1.665
1486.6	0.08678	1.6669999999999998
1500.0	0.08551	1.6680000000000001
