Energy [eV]	Cross Section	Asymmetry Parameter
65.0	3.94	1.4809999999999999
70.0	33.28	0.6275
75.0	85.66	0.4517
80.0	41.84	0.5754
85.0	23.22	0.777
90.0	14.24	0.9981
95.0	9.026	1.22
100.0	5.814	1.433
105.0	3.8	1.629
110.0	2.522	1.797
115.0	1.7	1.919
120.0	1.169	1.963
125.0	0.8255	1.8840000000000001
130.0	0.608	1.632
132.3	0.5386	1.4509999999999998
135.0	0.4764	1.19
140.0	0.4038	0.6195
145.0	0.3719	0.052110000000000004
150.0	0.3677	-0.3902
151.4	0.3701	-0.4835
155.0	0.3818	-0.6625
160.0	0.4078	-0.7868
165.0	0.441	-0.8087
170.0	0.4781	-0.7691
175.0	0.517	-0.6964
180.0	0.5562	-0.6082
185.0	0.5945	-0.5145
190.0	0.6313	-0.4211
195.0	0.6661	-0.3308
200.0	0.6985	-0.2451
205.0	0.7283	-0.1646
210.0	0.7554	-0.08949
215.0	0.7797	-0.01961
220.0	0.8013	0.0453
225.0	0.8203	0.1056
230.0	0.8366	0.1616
235.0	0.8506	0.2136
240.0	0.8623	0.2621
245.0	0.872	0.3074
250.0	0.8797	0.3497
255.0	0.8857	0.3893
260.0	0.8902	0.4266
265.0	0.8932	0.4616
270.0	0.8949	0.4947
275.0	0.8954	0.526
280.0	0.8948	0.5556
285.0	0.8932	0.5837
290.0	0.8907	0.6104
295.0	0.8873	0.6358
300.0	0.8832	0.66
305.0	0.8783	0.6831
310.0	0.8728	0.7052
315.0	0.8667	0.7262
320.0	0.8601	0.7463
325.0	0.853	0.7655
330.0	0.8454	0.7839
335.0	0.8375	0.8016
340.0	0.8293	0.8184
345.0	0.8209	0.8346
350.0	0.8122	0.8501
355.0	0.8033	0.865
360.0	0.7943	0.8792
380.0	0.7574	0.9311
400.0	0.7199	0.9759
420.0	0.6827	1.015
440.0	0.6462	1.0490000000000002
460.0	0.6108	1.08
480.0	0.5769	1.107
500.0	0.5447	1.13
520.0	0.5143	1.1520000000000001
540.0	0.4857	1.17
560.0	0.4587	1.187
580.0	0.4332	1.203
600.0	0.4093	1.216
620.0	0.3869	1.229
640.0	0.3659	1.24
660.0	0.3462	1.25
680.0	0.3278	1.2590000000000001
700.0	0.3106	1.2670000000000001
720.0	0.2944	1.275
740.0	0.2793	1.281
760.0	0.265	1.287
780.0	0.2517	1.2919999999999998
800.0	0.2391	1.297
850.0	0.21100000000000002	1.307
900.0	0.187	1.314
950.0	0.1663	1.319
1000.0	0.1484	1.3219999999999998
1041.0	0.1355	1.324
1050.0	0.1328	1.324
1100.0	0.1194	1.325
1150.0	0.1075	1.324
1200.0	0.09717	1.3230000000000002
1250.0	0.08806	1.321
1253.6	0.08745	1.321
1300.0	0.08001	1.318
1350.0	0.07288	1.315
1400.0	0.06654	1.311
1450.0	0.06089	1.307
1486.6	0.05712999999999999	1.304
1500.0	0.05583	1.3030000000000002
