Energy [eV]	Cross Section	Asymmetry Parameter
135.0	0.4284	0.015369999999999998
140.0	0.4723	-0.804
145.0	0.4778	-0.8249
150.0	0.4757	-0.7597
151.4	0.4747	-0.7388
155.0	0.4721	-0.6816
160.0	0.4692	-0.5927
165.0	0.4678	-0.4929
170.0	0.4677	-0.3852
175.0	0.4684	-0.2741
180.0	0.4694	-0.16399999999999998
185.0	0.4703	-0.05852
190.0	0.4708	0.04027
195.0	0.4709	0.1314
200.0	0.4704	0.2149
205.0	0.4696	0.2913
210.0	0.4684	0.3613
215.0	0.4669	0.4257
220.0	0.4651	0.4854
225.0	0.4631	0.5411
230.0	0.4608	0.5932
235.0	0.4583	0.6423
240.0	0.4555	0.6886
245.0	0.4525	0.7322
250.0	0.4492	0.7735
255.0	0.4457	0.8124
260.0	0.442	0.8491
265.0	0.4381	0.8837
270.0	0.434	0.9163
275.0	0.4297	0.9469
280.0	0.4254	0.9757
285.0	0.4209	1.003
290.0	0.4164	1.028
295.0	0.4119	1.052
300.0	0.4074	1.075
305.0	0.4028	1.0959999999999999
310.0	0.3983	1.117
315.0	0.3938	1.136
320.0	0.3893	1.1540000000000001
325.0	0.3848	1.172
330.0	0.3803	1.189
335.0	0.3758	1.205
340.0	0.3714	1.22
345.0	0.36700000000000005	1.235
350.0	0.3626	1.249
355.0	0.3582	1.263
360.0	0.3538	1.276
365.0	0.3495	1.288
370.0	0.3452	1.3
375.0	0.3409	1.3119999999999998
380.0	0.3366	1.3230000000000002
385.0	0.3324	1.334
390.0	0.3283	1.344
395.0	0.3242	1.354
400.0	0.3201	1.364
405.0	0.3161	1.3730000000000002
410.0	0.3122	1.382
415.0	0.3083	1.39
420.0	0.3044	1.3980000000000001
425.0	0.3007	1.406
430.0	0.2969	1.4140000000000001
440.0	0.2897	1.4280000000000002
460.0	0.2758	1.454
480.0	0.2627	1.4769999999999999
500.0	0.2503	1.4980000000000002
520.0	0.2386	1.517
540.0	0.2276	1.5330000000000001
560.0	0.2172	1.548
580.0	0.2075	1.561
600.0	0.1984	1.5730000000000002
620.0	0.1899	1.5830000000000002
640.0	0.1817	1.5930000000000002
660.0	0.1741	1.6019999999999999
680.0	0.1669	1.61
700.0	0.16	1.617
720.0	0.1536	1.624
740.0	0.1475	1.63
760.0	0.1418	1.636
780.0	0.1364	1.641
800.0	0.1312	1.645
850.0	0.1194	1.655
900.0	0.1091	1.663
950.0	0.09999	1.67
1000.0	0.09191	1.6740000000000002
1041.0	0.08594	1.6780000000000002
1050.0	0.0847	1.6780000000000002
1100.0	0.07826	1.681
1150.0	0.0725	1.683
1200.0	0.06731000000000001	1.6840000000000002
1250.0	0.06262999999999999	1.685
1253.6	0.062310000000000004	1.685
1300.0	0.05839	1.685
1350.0	0.05454	1.685
1400.0	0.05103	1.685
1450.0	0.04785	1.6840000000000002
1486.6	0.04568	1.683
1500.0	0.04493	1.683
