Energy [eV]	Cross Section	Asymmetry Parameter
465.0	0.1066	0.5025
470.0	0.1492	1.4340000000000002
475.0	0.3262	1.8119999999999998
480.0	0.8444	1.629
485.0	1.6969999999999998	1.3230000000000002
490.0	2.6010000000000004	1.065
495.0	3.365	0.868
500.0	3.8939999999999997	0.7219
505.0	4.168	0.6147
510.0	4.24	0.537
515.0	4.192	0.4817
520.0	4.093999999999999	0.4434
525.0	3.984	0.4181
530.0	3.8789999999999996	0.4027
535.0	3.784	0.3947
540.0	3.698	0.3925
545.0	3.6189999999999998	0.3945
550.0	3.5439999999999996	0.3999
555.0	3.472	0.4076
560.0	3.4019999999999997	0.4173
565.0	3.333	0.4283
570.0	3.267	0.4404
575.0	3.2039999999999997	0.4533
580.0	3.1430000000000002	0.4668
585.0	3.085	0.4807
590.0	3.03	0.4949
595.0	2.978	0.5093
600.0	2.927	0.5238
605.0	2.8789999999999996	0.5383
610.0	2.832	0.5528
615.0	2.786	0.5672
620.0	2.742	0.5814
625.0	2.698	0.5954
630.0	2.655	0.6093
635.0	2.613	0.6228
640.0	2.572	0.6361
645.0	2.531	0.6492
650.0	2.491	0.6619
655.0	2.452	0.6744
660.0	2.4130000000000003	0.6866
665.0	2.376	0.6985
670.0	2.339	0.7101
675.0	2.303	0.7215
680.0	2.2680000000000002	0.7326
685.0	2.233	0.7435
690.0	2.2	0.7541
695.0	2.167	0.7644
700.0	2.134	0.7746
705.0	2.102	0.7845
710.0	2.0709999999999997	0.7941
715.0	2.04	0.8036
720.0	2.01	0.8128
725.0	1.98	0.8218
730.0	1.9509999999999998	0.8306
735.0	1.922	0.8392
740.0	1.8940000000000001	0.8476
745.0	1.8659999999999999	0.8558
750.0	1.838	0.8638
755.0	1.811	0.8716
760.0	1.785	0.8793
780.0	1.683	0.9079999999999999
800.0	1.588	0.9341
850.0	1.3780000000000001	0.99
900.0	1.2	1.035
950.0	1.0490000000000002	1.071
1000.0	0.9201	1.1
1041.0	0.8288	1.12
1050.0	0.8103	1.124
1100.0	0.7165	1.143
1150.0	0.6358	1.159
1200.0	0.5662	1.171
1250.0	0.5059	1.182
1253.6	0.5019	1.182
1300.0	0.4536	1.19
1350.0	0.4079	1.196
1400.0	0.3678	1.2009999999999998
1450.0	0.3327	1.204
1486.6	0.3097	1.206
1500.0	0.3017	1.206
