Energy [eV]	Cross Section	Asymmetry Parameter
660.0	0.2744	0.00014419999999999998
680.0	0.51	0.1884
700.0	0.5084	0.4594
720.0	0.5044	0.6545
740.0	0.4913	0.7955
760.0	0.4774	0.9004
780.0	0.4651	0.9846
800.0	0.4527	1.055
850.0	0.4217	1.187
900.0	0.3937	1.278
950.0	0.3672	1.345
1000.0	0.3428	1.396
1041.0	0.3242	1.429
1050.0	0.3202	1.436
1100.0	0.2993	1.4669999999999999
1150.0	0.2801	1.492
1200.0	0.2622	1.5130000000000001
1250.0	0.2458	1.53
1253.6	0.2447	1.531
1300.0	0.2306	1.544
1350.0	0.2166	1.556
1400.0	0.2037	1.565
1450.0	0.1917	1.5730000000000002
1486.6	0.1835	1.578
1500.0	0.1807	1.58
