Energy [eV]	Cross Section	Asymmetry Parameter
16.7	0.08867	2
20.0	0.1543	2
21.2	0.1703	2
25.0	0.2008	2
26.8	0.2076	2
30.0	0.2122	2
35.0	0.2078	2
40.0	0.1965	2
40.8	0.1944	2
45.0	0.1826	2
50.0	0.1681	2
55.0	0.1541	2
60.0	0.1409	2
65.0	0.129	2
70.0	0.1183	2
75.0	0.1088	2
80.0	0.1003	2
85.0	0.09281	2
90.0	0.08614	2
95.0	0.08019	2
100.0	0.07487	2
105.0	0.0701	2
110.0	0.06579	2
115.0	0.0619	2
120.0	0.05836	2
125.0	0.055139999999999995	2
130.0	0.0522	2
132.3	0.05094	2
135.0	0.04952	2
140.0	0.04705	2
145.0	0.04478	2
150.0	0.04269	2
151.4	0.04213	2
155.0	0.040760000000000005	2
160.0	0.03898	2
165.0	0.03732	2
170.0	0.035789999999999995	2
175.0	0.03436	2
180.0	0.033030000000000004	2
185.0	0.03178	2
190.0	0.030610000000000002	2
195.0	0.02951	2
200.0	0.028480000000000002	2
205.0	0.0275	2
210.0	0.02658	2
215.0	0.0257	2
220.0	0.02487	2
225.0	0.02408	2
230.0	0.02333	2
235.0	0.022609999999999998	2
240.0	0.02193	2
245.0	0.02128	2
250.0	0.02065	2
255.0	0.02005	2
260.0	0.01948	2
265.0	0.018930000000000002	2
270.0	0.01841	2
275.0	0.01791	2
280.0	0.017419999999999998	2
285.0	0.01696	2
290.0	0.01652	2
295.0	0.01609	2
300.0	0.01568	2
305.0	0.01529	2
310.0	0.01491	2
320.0	0.014190000000000001	2
340.0	0.0129	2
360.0	0.01179	2
380.0	0.01082	2
400.0	0.009972	2
420.0	0.009224	2
440.0	0.008561	2
460.0	0.00797	2
480.0	0.00744	2
500.0	0.006963	2
520.0	0.006529999999999999	2
540.0	0.006137	2
560.0	0.005779	2
580.0	0.005451	2
600.0	0.00515	2
620.0	0.004873	2
640.0	0.004618	2
660.0	0.004383	2
680.0	0.004164999999999999	2
700.0	0.003964	2
720.0	0.0037770000000000004	2
740.0	0.0036030000000000003	2
760.0	0.0034409999999999996	2
780.0	0.00329	2
800.0	0.00315	2
850.0	0.0028350000000000003	2
900.0	0.002566	2
950.0	0.002333	2
1000.0	0.002131	2
1041.0	0.001984	2
1050.0	0.001954	2
1100.0	0.0017980000000000001	2
1150.0	0.0016600000000000002	2
1200.0	0.001538	2
1250.0	0.001429	2
1253.6	0.0014210000000000002	2
1300.0	0.0013310000000000002	2
1350.0	0.001243	2
1400.0	0.001163	2
1450.0	0.001091	2
1486.6	0.001042	2
1500.0	0.001025	2
