Energy [eV]	Cross Section	Asymmetry Parameter
60.0	2.0	1.807
65.0	1.675	1.989
70.0	1.285	1.885
75.0	0.9741	1.681
80.0	0.7511	1.42
85.0	0.5971	1.131
90.0	0.491	0.8417
95.0	0.4172	0.5727
100.0	0.3653	0.3395
105.0	0.3283	0.1511
110.0	0.3016	0.010440000000000001
115.0	0.2824	-0.08402000000000001
120.0	0.2684	-0.1374
125.0	0.2582	-0.1565
130.0	0.2506	-0.149
132.3	0.2478	-0.1386
135.0	0.245	-0.122
140.0	0.2406	-0.08165
145.0	0.2371	-0.03282
150.0	0.2342	0.020819999999999998
151.4	0.2335	0.03633
155.0	0.2317	0.07669
160.0	0.2293	0.133
165.0	0.2271	0.1887
170.0	0.2249	0.2431
175.0	0.2228	0.2957
180.0	0.2206	0.3465
185.0	0.2184	0.3952
190.0	0.2162	0.4419
195.0	0.2139	0.4867
200.0	0.2116	0.5294
205.0	0.2092	0.5703
210.0	0.2069	0.6092
215.0	0.2044	0.6463
220.0	0.20199999999999999	0.6817
225.0	0.1996	0.7153
230.0	0.1971	0.7473
235.0	0.1946	0.7777
240.0	0.1921	0.8066
245.0	0.1896	0.8341
250.0	0.1871	0.8602
255.0	0.1846	0.885
260.0	0.1822	0.9087
265.0	0.1797	0.9313
270.0	0.1773	0.9528
275.0	0.1749	0.9734
280.0	0.1726	0.9932
285.0	0.1702	1.012
290.0	0.1679	1.03
295.0	0.1656	1.048
300.0	0.1633	1.064
305.0	0.1611	1.081
310.0	0.1589	1.0959999999999999
315.0	0.1567	1.111
320.0	0.1546	1.126
325.0	0.1525	1.14
330.0	0.1504	1.153
335.0	0.1483	1.166
340.0	0.1463	1.179
345.0	0.1443	1.1909999999999998
350.0	0.1423	1.203
355.0	0.1404	1.214
360.0	0.1385	1.225
380.0	0.1312	1.266
400.0	0.1244	1.301
420.0	0.1181	1.3330000000000002
440.0	0.1122	1.361
460.0	0.1068	1.3869999999999998
480.0	0.1017	1.41
500.0	0.09689	1.431
520.0	0.09243	1.45
540.0	0.08827	1.4680000000000002
560.0	0.08438999999999999	1.483
580.0	0.08076	1.4980000000000002
600.0	0.07735	1.5119999999999998
620.0	0.07415	1.524
640.0	0.07115	1.536
660.0	0.06832	1.546
680.0	0.06565	1.556
700.0	0.06315	1.5659999999999998
720.0	0.060779999999999994	1.574
740.0	0.05855	1.5819999999999999
760.0	0.05644	1.59
780.0	0.054439999999999995	1.597
800.0	0.05255	1.6030000000000002
850.0	0.04822	1.618
900.0	0.04442	1.631
950.0	0.04105	1.642
1000.0	0.038060000000000004	1.651
1041.0	0.03584	1.6580000000000001
1050.0	0.03538	1.66
1100.0	0.03297	1.6669999999999998
1150.0	0.0308	1.673
1200.0	0.02885	1.6780000000000002
1250.0	0.02706	1.683
1253.6	0.02694	1.6840000000000002
1300.0	0.02545	1.6869999999999998
1350.0	0.023969999999999998	1.6909999999999998
1400.0	0.022609999999999998	1.694
1450.0	0.02137	1.6969999999999998
1486.6	0.02052	1.699
1500.0	0.02022	1.699
