Energy [eV]	Cross Section	Asymmetry Parameter
100.0	0.3045	2
120.0	0.2734	2
132.3	0.2561	2
140.0	0.2443	2
151.4	0.2268	2
160.0	0.2142	2
180.0	0.1882	2
200.0	0.1669	2
220.0	0.1487	2
240.0	0.133	2
260.0	0.1195	2
280.0	0.10800000000000001	2
300.0	0.09808	2
320.0	0.08951	2
340.0	0.08199999999999999	2
360.0	0.07539	2
380.0	0.06954	2
400.0	0.06436	2
420.0	0.059770000000000004	2
440.0	0.05566	2
460.0	0.05197	2
480.0	0.048639999999999996	2
500.0	0.045630000000000004	2
520.0	0.04289	2
540.0	0.0404	2
560.0	0.03812	2
580.0	0.036039999999999996	2
600.0	0.03414	2
620.0	0.03238	2
640.0	0.030760000000000003	2
660.0	0.02926	2
680.0	0.02787	2
700.0	0.02658	2
720.0	0.02538	2
740.0	0.02426	2
760.0	0.023219999999999998	2
780.0	0.02225	2
800.0	0.021330000000000002	2
850.0	0.01929	2
900.0	0.01753	2
950.0	0.01602	2
1000.0	0.01469	2
1041.0	0.013730000000000001	2
1050.0	0.01353	2
1100.0	0.0125	2
1150.0	0.011590000000000001	2
1200.0	0.01078	2
1250.0	0.01005	2
1253.6	0.01	2
1300.0	0.009398	2
1350.0	0.008806999999999999	2
1400.0	0.008272	2
1450.0	0.007784999999999999	2
1486.6	0.0074540000000000006	2
1500.0	0.007339	2
