Energy [eV]	Cross Section	Asymmetry Parameter
270.0	0.2017	2
275.0	0.2123	2
280.0	0.2185	2
285.0	0.2224	2
290.0	0.2243	2
295.0	0.2245	2
300.0	0.2233	2
305.0	0.2211	2
310.0	0.2181	2
315.0	0.2147	2
320.0	0.21100000000000002	2
325.0	0.2073	2
330.0	0.2036	2
335.0	0.2001	2
340.0	0.1967	2
345.0	0.1936	2
350.0	0.1906	2
355.0	0.1878	2
360.0	0.1851	2
365.0	0.1826	2
370.0	0.1801	2
375.0	0.1777	2
380.0	0.1753	2
385.0	0.17300000000000001	2
390.0	0.1707	2
395.0	0.1684	2
400.0	0.1661	2
405.0	0.1638	2
410.0	0.1615	2
415.0	0.1592	2
420.0	0.157	2
425.0	0.1547	2
430.0	0.1525	2
435.0	0.1504	2
440.0	0.1482	2
445.0	0.1461	2
450.0	0.14400000000000002	2
455.0	0.142	2
460.0	0.14	2
465.0	0.1381	2
470.0	0.1362	2
475.0	0.1344	2
480.0	0.1326	2
485.0	0.1308	2
490.0	0.1291	2
495.0	0.1274	2
500.0	0.1258	2
505.0	0.1242	2
510.0	0.1226	2
515.0	0.1211	2
520.0	0.1195	2
525.0	0.11800000000000001	2
530.0	0.1166	2
535.0	0.1151	2
540.0	0.1137	2
545.0	0.1123	2
550.0	0.1109	2
555.0	0.1095	2
560.0	0.1082	2
565.0	0.1068	2
580.0	0.10300000000000001	2
600.0	0.09809	2
620.0	0.09355	2
640.0	0.08932999999999999	2
660.0	0.08541	2
680.0	0.08175	2
700.0	0.07832	2
720.0	0.07509	2
740.0	0.07203999999999999	2
760.0	0.06915	2
780.0	0.06642999999999999	2
800.0	0.06385	2
850.0	0.05805	2
900.0	0.053020000000000005	2
950.0	0.0486	2
1000.0	0.04469	2
1041.0	0.04181	2
1050.0	0.04122	2
1100.0	0.03814	2
1150.0	0.03539	2
1200.0	0.03293	2
1250.0	0.0307	2
1253.6	0.03055	2
1300.0	0.02868	2
1350.0	0.026860000000000002	2
1400.0	0.0252	2
1450.0	0.02369	2
1486.6	0.02267	2
1500.0	0.02231	2
