Energy [eV]	Cross Section	Asymmetry Parameter
220.0	0.5008	-0.6692
240.0	0.4953	-0.1139
260.0	0.4892	0.2675
280.0	0.4774	0.5224
300.0	0.46399999999999997	0.7120000000000001
320.0	0.4482	0.8582
340.0	0.4316	0.9713
360.0	0.4148	1.063
380.0	0.3977	1.139
400.0	0.3808	1.202
420.0	0.3644	1.256
440.0	0.3486	1.301
460.0	0.3334	1.341
480.0	0.3188	1.375
500.0	0.3049	1.405
520.0	0.2918	1.432
540.0	0.2793	1.455
560.0	0.2674	1.476
580.0	0.2562	1.495
600.0	0.2455	1.5119999999999998
620.0	0.2355	1.527
640.0	0.2259	1.541
660.0	0.2169	1.5530000000000002
680.0	0.2084	1.565
700.0	0.2003	1.575
720.0	0.1926	1.585
740.0	0.1853	1.5930000000000002
760.0	0.1784	1.601
780.0	0.1719	1.609
800.0	0.1656	1.615
850.0	0.1514	1.63
900.0	0.1388	1.642
950.0	0.1276	1.651
1000.0	0.1176	1.659
1041.0	0.1103	1.665
1050.0	0.1087	1.666
1100.0	0.1008	1.671
1150.0	0.09357	1.675
1200.0	0.08707999999999999	1.679
1250.0	0.08121	1.681
1253.6	0.08081	1.681
1300.0	0.07587999999999999	1.683
1350.0	0.07103	1.685
1400.0	0.06661	1.685
1450.0	0.06256	1.686
1486.6	0.05981	1.686
1500.0	0.05885	1.686
