Energy [eV]	Cross Section	Asymmetry Parameter
10.0	10.89	0.1645
10.2	10.99	0.1751
15.0	8.716000000000001	0.478
16.71	7.1370000000000005	0.5788
20.0	4.703	0.7542
21.22	4.0360000000000005	0.8139
25.0	2.571	0.9847
26.86	2.086	1.062
30.0	1.4880000000000002	1.186
35.0	0.8949	1.367
40.0	0.5533	1.531
40.81	0.5131	1.556
45.0	0.3512	1.676
50.0	0.2287	1.801
55.0	0.1525	1.902
60.0	0.1038	1.9709999999999999
65.0	0.07207000000000001	1.999
70.0	0.05103	1.969
75.0	0.03696	1.8659999999999999
80.0	0.02754	1.676
85.0	0.021240000000000002	1.3969999999999998
90.0	0.01707	1.043
95.0	0.01436	0.6523
100.0	0.01265	0.2721
105.0	0.01162	-0.05364
110.0	0.011059999999999999	-0.2992
115.0	0.01081	-0.4597
120.0	0.01077	-0.5454
125.0	0.01087	-0.5731
130.0	0.011040000000000001	-0.5598
132.3	0.01114	-0.5439
135.0	0.01126	-0.5195
140.0	0.0115	-0.4628
145.0	0.011729999999999999	-0.3971
150.0	0.01196	-0.3271
151.4	0.01202	-0.3072
155.0	0.012159999999999999	-0.256
160.0	0.01235	-0.1857
165.0	0.01252	-0.1175
170.0	0.01266	-0.051910000000000005
175.0	0.01277	0.01063
180.0	0.01287	0.06998
185.0	0.01294	0.1261
190.0	0.01299	0.1791
195.0	0.013009999999999999	0.22899999999999998
200.0	0.013019999999999999	0.2761
205.0	0.013019999999999999	0.3204
210.0	0.01299	0.3622
215.0	0.01296	0.4017
220.0	0.01291	0.439
225.0	0.01284	0.4743
230.0	0.01277	0.5078
235.0	0.01269	0.5395
240.0	0.0126	0.5697
245.0	0.0125	0.5984
250.0	0.0124	0.6257
255.0	0.01229	0.6516
260.0	0.01217	0.6764
265.0	0.01205	0.7
270.0	0.01192	0.7225
275.0	0.01179	0.7440000000000001
280.0	0.01166	0.7645
285.0	0.01153	0.7841
290.0	0.01139	0.8029
295.0	0.01125	0.8209
300.0	0.01111	0.8381
305.0	0.01097	0.8547
320.0	0.01055	0.9004
340.0	0.009988	0.9539
360.0	0.009441	1.0
380.0	0.008916	1.04
400.0	0.008416	1.075
420.0	0.007942	1.1059999999999999
440.0	0.007494	1.1340000000000001
460.0	0.007072	1.158
480.0	0.0066760000000000005	1.18
500.0	0.006304	1.199
520.0	0.005956	1.217
540.0	0.005629	1.232
560.0	0.005324000000000001	1.246
580.0	0.005039	1.2590000000000001
600.0	0.004772	1.27
620.0	0.004522	1.281
640.0	0.004288	1.29
660.0	0.004069	1.2990000000000002
680.0	0.0038640000000000002	1.306
700.0	0.0036710000000000002	1.3130000000000002
720.0	0.00349	1.32
740.0	0.0033200000000000005	1.325
760.0	0.00316	1.33
780.0	0.00301	1.335
800.0	0.002869	1.339
850.0	0.00255	1.347
900.0	0.0022760000000000002	1.3530000000000002
950.0	0.002037	1.357
1000.0	0.00183	1.36
1041.0	0.00168	1.361
1050.0	0.0016489999999999999	1.361
1100.0	0.00149	1.361
1150.0	0.00135	1.361
1200.0	0.001227	1.359
1250.0	0.001118	1.357
1253.6	0.0011099999999999999	1.357
1300.0	0.001021	1.355
1350.0	0.0009343	1.351
1400.0	0.0008571	1.348
1450.0	0.000788	1.344
1486.6	0.0007417999999999999	1.341
1500.0	0.0007258999999999999	1.34
