Energy [eV]	Cross Section	Asymmetry Parameter
35.0	1.95	0.6940000000000001
40.0	1.996	1.357
40.81	2.033	1.445
45.0	2.431	1.6540000000000001
50.0	3.4210000000000003	1.444
55.0	4.933	1.092
60.0	6.837000000000001	0.8023
65.0	9.052999999999999	0.6018
70.0	11.53	0.4691
75.0	14.16	0.38299999999999995
80.0	16.78	0.3288
85.0	19.21	0.2972
90.0	21.3	0.2821
95.0	22.99	0.2794
100.0	24.27	0.2862
105.0	25.1	0.3003
110.0	25.43	0.3201
115.0	25.25	0.3445
120.0	24.54	0.3725
125.0	23.35	0.4036
130.0	21.78	0.4373
132.3	20.96	0.4537
135.0	19.95	0.4736
140.0	17.98	0.5122
145.0	15.96	0.5529999999999999
150.0	14.0	0.5962
151.4	13.46	0.6088
155.0	12.14	0.6418
160.0	10.42	0.6897
165.0	8.862	0.7402
170.0	7.483	0.7933
175.0	6.277	0.8492
180.0	5.235	0.9081
185.0	4.343999999999999	0.9702
190.0	3.588	1.036
195.0	2.95	1.105
200.0	2.415	1.179
205.0	1.9680000000000002	1.256
210.0	1.5959999999999999	1.338
215.0	1.2890000000000001	1.4240000000000002
220.0	1.035	1.5130000000000001
225.0	0.8272	1.604
230.0	0.6579999999999999	1.694
235.0	0.5215	1.778
240.0	0.4123	1.848
245.0	0.326	1.892
250.0	0.2589	1.891
255.0	0.2077	1.8219999999999998
260.0	0.1699	1.659
265.0	0.1432	1.3840000000000001
270.0	0.1256	1.003
275.0	0.1155	0.5543
280.0	0.1116	0.09985
285.0	0.1127	-0.2981
290.0	0.11800000000000001	-0.603
295.0	0.1265	-0.8083
300.0	0.1376	-0.9276
305.0	0.1508	-0.9818
310.0	0.1655	-0.9906
315.0	0.1813	-0.9699
320.0	0.198	-0.9309999999999999
325.0	0.2152	-0.8817
330.0	0.2326	-0.8270000000000001
340.0	0.2677	-0.7132
360.0	0.335	-0.5019
380.0	0.3946	-0.3272
400.0	0.4444	-0.1851
420.0	0.4843	-0.06782
440.0	0.5152	0.03077
460.0	0.5379	0.1152
480.0	0.5536	0.1885
500.0	0.5633	0.253
520.0	0.5679	0.3103
540.0	0.5684	0.3617
560.0	0.5656	0.4082
580.0	0.5601	0.4506
600.0	0.5524	0.4894
620.0	0.5429999999999999	0.5251
640.0	0.5322	0.5579999999999999
660.0	0.5205	0.5885
680.0	0.508	0.6169
700.0	0.495	0.6434
720.0	0.4817	0.6681
740.0	0.4681	0.6913
760.0	0.4545	0.713
780.0	0.4409	0.7335
800.0	0.4274	0.7527
850.0	0.3947	0.7962
900.0	0.3636	0.8341
950.0	0.3345	0.8672
1000.0	0.3076	0.8964
1041.0	0.2872	0.9177
1050.0	0.2829	0.9221
1100.0	0.2602	0.9449
1150.0	0.2396	0.9651
1200.0	0.2207	0.9832
1250.0	0.2035	0.9992
1253.6	0.2023	1.0
1300.0	0.1878	1.014
1350.0	0.1735	1.026
1400.0	0.1606	1.038
1450.0	0.1487	1.048
1486.6	0.1407	1.055
1500.0	0.1379	1.057
