Energy [eV]	Cross Section	Asymmetry Parameter
10.0	8.106	0.4175
10.2	8.197000000000001	0.4157
15.0	7.765	0.4875
16.71	6.857	0.5352
20.0	5.058	0.6345
21.22	4.481	0.672
25.0	3.091	0.7871
26.86	2.596	0.8423
30.0	1.9609999999999999	0.9329
35.0	1.297	1.07
40.0	0.8856	1.198
40.81	0.8345	1.218
45.0	0.6199	1.317
50.0	0.4439	1.426
55.0	0.3251	1.525
60.0	0.243	1.615
65.0	0.1852	1.696
70.0	0.1434	1.767
75.0	0.1126	1.83
80.0	0.08941	1.882
85.0	0.07173	1.925
90.0	0.058070000000000004	1.9569999999999999
95.0	0.04741	1.9780000000000002
100.0	0.03901	1.9869999999999999
105.0	0.03235	1.983
110.0	0.027039999999999998	1.965
115.0	0.02277	1.933
120.0	0.01933	1.886
125.0	0.01654	1.825
130.0	0.01426	1.7480000000000002
132.3	0.013359999999999999	1.7069999999999999
135.0	0.0124	1.656
140.0	0.01087	1.551
145.0	0.009611	1.433
150.0	0.00857	1.305
151.4	0.008312	1.2670000000000001
155.0	0.0077069999999999994	1.168
160.0	0.006991	1.0270000000000001
165.0	0.0063939999999999995	0.8825
170.0	0.0058969999999999995	0.7389
175.0	0.005481000000000001	0.5984
180.0	0.0051329999999999995	0.4635
185.0	0.004841	0.3364
190.0	0.004596	0.2186
195.0	0.00439	0.1114
200.0	0.004217	0.01547
205.0	0.004071	-0.06888999999999999
210.0	0.003949	-0.1416
215.0	0.003846	-0.2031
220.0	0.003759	-0.2538
225.0	0.003686	-0.2946
230.0	0.003625	-0.3261
235.0	0.003573	-0.3494
240.0	0.0035280000000000003	-0.3653
245.0	0.0034909999999999997	-0.3746
250.0	0.0034590000000000003	-0.3781
255.0	0.003431	-0.3766
260.0	0.003407	-0.3708
265.0	0.003387	-0.3614
270.0	0.0033689999999999996	-0.3487
275.0	0.003353	-0.3334
280.0	0.003339	-0.3158
285.0	0.003326	-0.2964
290.0	0.003315	-0.2755
295.0	0.003304	-0.2534
300.0	0.0032939999999999996	-0.2303
305.0	0.003285	-0.2064
320.0	0.003257	-0.1325
340.0	0.00322	-0.03293
360.0	0.00318	0.06309
380.0	0.003135	0.1535
400.0	0.0030859999999999998	0.2376
420.0	0.003034	0.3152
440.0	0.002978	0.3864
460.0	0.002919	0.4517
480.0	0.002859	0.5115
500.0	0.002797	0.5665
520.0	0.002735	0.6172
540.0	0.002672	0.6639
560.0	0.0026079999999999996	0.7071
580.0	0.002545	0.7469
600.0	0.002482	0.7838
620.0	0.002419	0.8181
640.0	0.002358	0.85
660.0	0.002298	0.8797
680.0	0.002239	0.9075
700.0	0.0021809999999999998	0.9335
720.0	0.002125	0.9578
740.0	0.00207	0.9806
760.0	0.002017	1.002
780.0	0.001966	1.022
800.0	0.0019149999999999998	1.041
850.0	0.001795	1.084
900.0	0.001684	1.121
950.0	0.0015810000000000002	1.1540000000000001
1000.0	0.001485	1.183
1041.0	0.0014119999999999998	1.204
1050.0	0.001396	1.208
1100.0	0.001314	1.2309999999999999
1150.0	0.001239	1.251
1200.0	0.001168	1.268
1250.0	0.001103	1.284
1253.6	0.001099	1.285
1300.0	0.0010429999999999999	1.2990000000000002
1350.0	0.0009864	1.311
1400.0	0.0009339999999999999	1.3230000000000002
1450.0	0.0008853999999999999	1.3330000000000002
1486.6	0.000852	1.34
1500.0	0.0008401	1.3430000000000002
