Energy [eV]	Cross Section	Asymmetry Parameter
40.0	3.043	1.4369999999999998
40.8	2.783	1.4580000000000002
45.0	1.7469999999999999	1.5530000000000002
50.0	1.0290000000000001	1.6230000000000002
55.0	0.6333	1.629
60.0	0.4111	1.551
65.0	0.2831	1.375
70.0	0.2079	1.109
75.0	0.1634	0.7896
80.0	0.1374	0.4729
85.0	0.1227	0.2104
90.0	0.1148	0.02795
95.0	0.1109	-0.0762
100.0	0.1094	-0.1185
105.0	0.1092	-0.1178
110.0	0.1096	-0.0898
115.0	0.1103	-0.04559
120.0	0.1111	0.0075569999999999995
125.0	0.1117	0.065
130.0	0.1123	0.1238
132.3	0.1125	0.1507
135.0	0.1126	0.1821
140.0	0.1128	0.2387
145.0	0.1128	0.2929
150.0	0.1126	0.3444
151.4	0.1125	0.3583
155.0	0.1122	0.3929
160.0	0.1117	0.4386
165.0	0.111	0.4815
170.0	0.1102	0.5218
175.0	0.1093	0.5597
180.0	0.1083	0.5955
185.0	0.1073	0.6294
190.0	0.1062	0.6615
195.0	0.105	0.6919
200.0	0.1038	0.7209
205.0	0.1026	0.7486
210.0	0.1013	0.775
215.0	0.1	0.8001
220.0	0.09873	0.8240000000000001
225.0	0.09742999999999999	0.8469
230.0	0.09612000000000001	0.8687
235.0	0.09481	0.8895
240.0	0.09351	0.9094
245.0	0.09221	0.9284
250.0	0.09093	0.9466
255.0	0.08965	0.9640000000000001
260.0	0.08839	0.9807
265.0	0.08715	0.9968
270.0	0.08592000000000001	1.012
275.0	0.08471000000000001	1.0270000000000001
280.0	0.08352000000000001	1.042
285.0	0.08234	1.056
290.0	0.08118	1.069
295.0	0.08004	1.082
300.0	0.07891000000000001	1.095
305.0	0.0778	1.107
310.0	0.07671	1.119
315.0	0.07564	1.13
320.0	0.07459	1.141
325.0	0.07355	1.1520000000000001
330.0	0.07254	1.162
340.0	0.07056	1.182
360.0	0.06681000000000001	1.219
380.0	0.06335	1.251
400.0	0.060129999999999996	1.281
420.0	0.057139999999999996	1.307
440.0	0.05437	1.3319999999999999
460.0	0.05177999999999999	1.354
480.0	0.04938	1.374
500.0	0.04715	1.393
520.0	0.04506	1.41
540.0	0.04311	1.426
560.0	0.041280000000000004	1.4409999999999998
580.0	0.039560000000000005	1.455
600.0	0.03796	1.4680000000000002
620.0	0.03645	1.48
640.0	0.03503	1.492
660.0	0.03369	1.5019999999999998
680.0	0.03243	1.5119999999999998
700.0	0.03123	1.5219999999999998
720.0	0.03011	1.531
740.0	0.029039999999999996	1.5390000000000001
760.0	0.028030000000000003	1.547
780.0	0.02708	1.555
800.0	0.02617	1.5619999999999998
850.0	0.02409	1.578
900.0	0.02225	1.5919999999999999
950.0	0.02062	1.605
1000.0	0.01916	1.6159999999999999
1041.0	0.01807	1.625
1050.0	0.01785	1.626
1100.0	0.016669999999999997	1.636
1150.0	0.0156	1.6440000000000001
1200.0	0.01464	1.651
1250.0	0.01376	1.6580000000000001
1253.6	0.0137	1.6580000000000001
1300.0	0.01295	1.6640000000000001
1350.0	0.01222	1.669
1400.0	0.01155	1.6740000000000002
1450.0	0.01093	1.679
1486.6	0.0105	1.682
1500.0	0.01036	1.683
